// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- BAD EPISODE.Lost Memories
<0000> -1st beat- BAD EPISODE.Lost Memories
{0047} 0a // 0000

//<0001> 恐らく、一晩は経ったのだろう。
<0001> 恐らく、一晩は経ったのだろう。
<1489> 暗算日本記録保持者

//<1490> 通り魔
<1490> 通り魔

//<1491> 記憶ナシ男
<1491> 記憶ナシ男

//<1492> 音速
<1492> 音速

//<1493> 無限
<1493> 無限

//<1494> エロ侍
<1494> エロ侍

//<1495> エロエロ団ナンバー１
<1495> エロエロ団ナンバー１

//<1496> ただのエロ少年
<1496> ただのエロ少年

//<1497> ユリブサイク
<1497> ユリブサイク

//<1498> ドピュッシー
<1498> ドピュッシー

//<1499> アメリカンエロドッグ
<1499> アメリカンエロドッグ

//<1500> ゼウス
<1500> ゼウス

//<1501> 日向markⅡ
<1501> 日向markⅡ

//<1502> 糞虫
<1502> 糞虫

//<1503> 量産型日向
<1503> 量産型日向

//<1504> ？？
<1504> ？？

//<1505> 「いいよ。一緒に夜を過ごせるだけでも」
<1505> 「いいよ。一緒に夜を過ごせるだけでも」

//<1506> 音無
<1506> 音無

//<1507> クソ坊主
<1507> クソ坊主

//<1508> 代理人
<1508> 代理人

//<1509> 微妙すぎるイケメン
<1509> 微妙すぎるイケメン

//<1510> ロリコン
<1510> ロリコン

//<1511> メガネ仲間
<1511> メガネ仲間

//<1512> 暗算日本記録保持者
<1512> 暗算日本記録保持者

//<1513> 通り魔
<1513> 通り魔

//<1514> 記憶ナシ男
<1514> 記憶ナシ男

//<1515> 音速
<1515> 音速

//<1516> 無限
<1516> 無限

//<1517> エロ侍
<1517> エロ侍

//<1518> エロエロ団ナンバー１
<1518> エロエロ団ナンバー１

//<1519> ただのエロ少年
<1519> ただのエロ少年

//<1520> ユリブサイク
<1520> ユリブサイク

//<1521> ドピュッシー
<1521> ドピュッシー

//<1522> アメリカンエロドッグ
<1522> アメリカンエロドッグ

//<1523> ゼウス
<1523> ゼウス

//<1524> 日向markⅡ
<1524> 日向markⅡ

//<1525> 糞虫
<1525> 糞虫

//<1526> 量産型日向
<1526> 量産型日向

//<1527> ？？
<1527> ？？

//<1528> 「もし、いつか記憶を取り戻したら、その時は入隊を志願するかもしれない」
<1528> 「もし、いつか記憶を取り戻したら、その時は入隊を志願するかもしれない」

//<1529> nothing
<1529> nothing

//<1530> nothing
<1530> nothing

//<1531> nothing
<1531> nothing

//<1532> nothing
<1532> nothing

//<1533> nothing
<1533> nothing

//<1534> 日向
<1534> 日向

//<1535> 男Ｂ
<1535> 男Ｂ

//<1536> エロエロ団総帥
<1536> エロエロ団総帥

//<1537> イケチン
<1537> イケチン

//<1538> ホモ太
<1538> ホモ太

//<1539> ひなチン
<1539> ひなチン

//<1540> 秀樹
<1540> 秀樹

//<1541> 男子生徒
<1541> 男子生徒

//<1542> ？？
<1542> ？？

//<1543> 「ああ、いつだって来いよ。待ってるからさ」
<1543> 「ああ、いつだって来いよ。待ってるからさ」

//<1544> nothing
<1544> nothing

//<1545> nothing
<1545> nothing

//<1546> nothing
<1546> nothing

//<1547> nothing
<1547> nothing

//<1548> nothing
<1548> nothing

//<1549> 日向
<1549> 日向

//<1550> 男Ｂ
<1550> 男Ｂ

//<1551> エロエロ団総帥
<1551> エロエロ団総帥

//<1552> イケチン
<1552> イケチン

//<1553> ホモ太
<1553> ホモ太

//<1554> ひなチン
<1554> ひなチン

//<1555> 秀樹
<1555> 秀樹

//<1556> 男子生徒
<1556> 男子生徒

//<1557> ？？
<1557> ？？

//<1558> 「まあ、それでもルームメイトだからな。ただ情報の漏洩が出来ないから、会話数が減るかも」
<1558> 「まあ、それでもルームメイトだからな。ただ情報の漏洩が出来ないから、会話数が減るかも」

//<1559> 音無
<1559> 音無

//<1560> クソ坊主
<1560> クソ坊主

//<1561> 代理人
<1561> 代理人

//<1562> 微妙すぎるイケメン
<1562> 微妙すぎるイケメン

//<1563> ロリコン
<1563> ロリコン

//<1564> メガネ仲間
<1564> メガネ仲間

//<1565> 暗算日本記録保持者
<1565> 暗算日本記録保持者

//<1566> 通り魔
<1566> 通り魔

//<1567> 記憶ナシ男
<1567> 記憶ナシ男

//<1568> 音速
<1568> 音速

//<1569> 無限
<1569> 無限

//<1570> エロ侍
<1570> エロ侍

//<1571> エロエロ団ナンバー１
<1571> エロエロ団ナンバー１

//<1572> ただのエロ少年
<1572> ただのエロ少年

//<1573> ユリブサイク
<1573> ユリブサイク

//<1574> ドピュッシー
<1574> ドピュッシー

//<1575> アメリカンエロドッグ
<1575> アメリカンエロドッグ

//<1576> ゼウス
<1576> ゼウス

//<1577> 日向markⅡ
<1577> 日向markⅡ

//<1578> 糞虫
<1578> 糞虫

//<1579> 量産型日向
<1579> 量産型日向

//<1580> ？？
<1580> ？？

//<1581> 「もちろんだ。もう、お前と俺はただのルームメイトさ」
<1581> 「もちろんだ。もう、お前と俺はただのルームメイトさ」

//<1582> nothing
<1582> nothing

//<1583> nothing
<1583> nothing

//<1584> nothing
<1584> nothing

//<1585> nothing
<1585> nothing

//<1586> nothing
<1586> nothing

//<1587> 日向
<1587> 日向

//<1588> 男Ｂ
<1588> 男Ｂ

//<1589> エロエロ団総帥
<1589> エロエロ団総帥

//<1590> イケチン
<1590> イケチン

//<1591> ホモ太
<1591> ホモ太

//<1592> ひなチン
<1592> ひなチン

//<1593> 秀樹
<1593> 秀樹

//<1594> 男子生徒
<1594> 男子生徒

//<1595> ？？
<1595> ？？

//<1596> 「ああ、もう作戦については何も言わねえ」
<1596> 「ああ、もう作戦については何も言わねえ」

//<1597> nothing
<1597> nothing

//<1598> nothing
<1598> nothing

//<1599> nothing
<1599> nothing

//<1600> nothing
<1600> nothing

//<1601> nothing
<1601> nothing

//<1602> その顔はすでに、戦線のリーダー…かつてのゆりのような、覚悟を決めたものだった。
<1602> その顔はすでに、戦線のリーダー…かつてのゆりのような、覚悟を決めたものだった。

//<1603> nothing
<1603> nothing

//<1604> nothing
<1604> nothing

//<1605> nothing
<1605> nothing

//<1606> nothing
<1606> nothing

//<1607> チャー
<1607> チャー

//<1608> 「で、もう一度訊くが、こいつはどうする」
<1608> 「で、もう一度訊くが、こいつはどうする」

//<1609> 直井の体に片足を載せているチャーが訊く。
<1609> 直井の体に片足を載せているチャーが訊く。

//<1610> nothing
<1610> nothing

//<1611> nothing
<1611> nothing

//<1612> nothing
<1612> nothing

//<1613> nothing
<1613> nothing

//<1614> 作業着の男
<1614> 作業着の男

//<1615> 「で、もう一度訊くが、こいつはどうする」
<1615> 「で、もう一度訊くが、こいつはどうする」

//<1616> 直井の体に片足を載せている、日向からチャーと呼ばれていた作業着の男が訊く。
<1616> 直井の体に片足を載せている、日向からチャーと呼ばれていた作業着の男が訊く。

//<1617> nothing
<1617> nothing

//<1618> nothing
<1618> nothing

//<1619> nothing
<1619> nothing

//<1620> nothing
<1620> nothing

//<1621> nothing
<1621> nothing

//<1622> 日向
<1622> 日向

//<1623> 男Ｂ
<1623> 男Ｂ

//<1624> エロエロ団総帥
<1624> エロエロ団総帥

//<1625> イケチン
<1625> イケチン

//<1626> ホモ太
<1626> ホモ太

//<1627> ひなチン
<1627> ひなチン

//<1628> 秀樹
<1628> 秀樹

//<1629> 男子生徒
<1629> 男子生徒

//<1630> ？？
<1630> ？？

//<1631> 「戦線のモラルとしては、ＮＰＣじゃない人間に対しては、質問はひとつだ」
<1631> 「戦線のモラルとしては、ＮＰＣじゃない人間に対しては、質問はひとつだ」

//<1632> nothing
<1632> nothing

//<1633> nothing
<1633> nothing

//<1634> nothing
<1634> nothing

//<1635> nothing
<1635> nothing

//<1636> nothing
<1636> nothing

//<1637> 日向
<1637> 日向

//<1638> 男Ｂ
<1638> 男Ｂ

//<1639> エロエロ団総帥
<1639> エロエロ団総帥

//<1640> イケチン
<1640> イケチン

//<1641> ホモ太
<1641> ホモ太

//<1642> ひなチン
<1642> ひなチン

//<1643> 秀樹
<1643> 秀樹

//<1644> 男子生徒
<1644> 男子生徒

//<1645> ？？
<1645> ？？

//<1646> 「俺たち、死んだ世界戦線に加入するか、否か、だ」
<1646> 「俺たち、死んだ世界戦線に加入するか、否か、だ」

//<1647> nothing
<1647> nothing

//<1648> nothing
<1648> nothing

//<1649> nothing
<1649> nothing

//<1650> nothing
<1650> nothing

//<1651> nothing
<1651> nothing

//<1652> 日向
<1652> 日向

//<1653> 男Ｂ
<1653> 男Ｂ

//<1654> エロエロ団総帥
<1654> エロエロ団総帥

//<1655> イケチン
<1655> イケチン

//<1656> ホモ太
<1656> ホモ太

//<1657> ひなチン
<1657> ひなチン

//<1658> 秀樹
<1658> 秀樹

//<1659> 男子生徒
<1659> 男子生徒

//<1660> ？？
<1660> ？？

//<1661> 「さて、どうするよ」
<1661> 「さて、どうするよ」

//<1662> 直井
<1662> 直井

//<1663> 「ここまでされて加入するわけないだろ…」
<1663> 「ここまでされて加入するわけないだろ…」

//<1664> nothing
<1664> nothing

//<1665> nothing
<1665> nothing

//<1666> nothing
<1666> nothing

//<1667> nothing
<1667> nothing

//<1668> nothing
<1668> nothing

//<1669> 日向
<1669> 日向

//<1670> 男Ｂ
<1670> 男Ｂ

//<1671> エロエロ団総帥
<1671> エロエロ団総帥

//<1672> イケチン
<1672> イケチン

//<1673> ホモ太
<1673> ホモ太

//<1674> ひなチン
<1674> ひなチン

//<1675> 秀樹
<1675> 秀樹

//<1676> 男子生徒
<1676> 男子生徒

//<1677> ？？
<1677> ？？

//<1678> 「じゃあ、自由にしてやれ、チャー」
<1678> 「じゃあ、自由にしてやれ、チャー」

//<1679> nothing
<1679> nothing

//<1680> nothing
<1680> nothing

//<1681> nothing
<1681> nothing

//<1682> nothing
<1682> nothing

//<1683> nothing
<1683> nothing

//<1684> チャー
<1684> チャー

//<1685> 「了解」
<1685> 「了解」

//<1686> nothing
<1686> nothing

//<1687> nothing
<1687> nothing

//<1688> nothing
<1688> nothing

//<1689> nothing
<1689> nothing

//<1690> nothing
<1690> nothing

//<1691> nothing
<1691> nothing

//<1692> 踏みつけていた足をどける。
<1692> 踏みつけていた足をどける。

//<1693> nothing
<1693> nothing

//<1694> nothing
<1694> nothing

//<1695> nothing
<1695> nothing

//<1696> nothing
<1696> nothing

//<1697> nothing
<1697> nothing

//<1698> 日向
<1698> 日向

//<1699> 男Ｂ
<1699> 男Ｂ

//<1700> エロエロ団総帥
<1700> エロエロ団総帥

//<1701> イケチン
<1701> イケチン

//<1702> ホモ太
<1702> ホモ太

//<1703> ひなチン
<1703> ひなチン

//<1704> 秀樹
<1704> 秀樹

//<1705> 男子生徒
<1705> 男子生徒

//<1706> ？？
<1706> ？？

//<1707> 「生徒会の銃を全部取り上げろ！」
<1707> 「生徒会の銃を全部取り上げろ！」

//<1708> 日向は、ギルド員に告げた。
<1708> 日向は、ギルド員に告げた。

//<1709> ギルドメンバーＡ
<1709> ギルドメンバーＡ

//<1710> 「うっす！」
<1710> 「うっす！」

//<1711> 日向が、作業着の戦線メンバーたちに告げた。
<1711> 日向が、作業着の戦線メンバーたちに告げた。

//<1712> 作業着の男Ｂ
<1712> 作業着の男Ｂ

//<1713> 「うっす！」
<1713> 「うっす！」

//<1714> 倒れている生徒会メンバーから、銃を取り上げる。
<1714> 倒れている生徒会メンバーから、銃を取り上げる。

//<1715> nothing
<1715> nothing

//<1716> nothing
<1716> nothing

//<1717> nothing
<1717> nothing

//<1718> nothing
<1718> nothing

//<1719> nothing
<1719> nothing

//<1720> 日向
<1720> 日向

//<1721> 男Ｂ
<1721> 男Ｂ

//<1722> エロエロ団総帥
<1722> エロエロ団総帥

//<1723> イケチン
<1723> イケチン

//<1724> ホモ太
<1724> ホモ太

//<1725> ひなチン
<1725> ひなチン

//<1726> 秀樹
<1726> 秀樹

//<1727> 男子生徒
<1727> 男子生徒

//<1728> ？？
<1728> ？？

//<1729> 「そもそもどうやって手にいれたんだ？」
<1729> 「そもそもどうやって手にいれたんだ？」

//<1730> nothing
<1730> nothing

//<1731> nothing
<1731> nothing

//<1732> nothing
<1732> nothing

//<1733> nothing
<1733> nothing

//<1734> 天使
<1734> 天使

//<1735> かなで
<1735> かなで

//<1736> 女生徒
<1736> 女生徒

//<1737> ？？
<1737> ？？

//<1738> 「多分それは、あなたたちからあたしが没収したものよ」
<1738> 「多分それは、あなたたちからあたしが没収したものよ」

//<1739> nothing
<1739> nothing

//<1740> nothing
<1740> nothing

//<1741> nothing
<1741> nothing

//<1742> nothing
<1742> nothing

//<1743> 天使
<1743> 天使

//<1744> かなで
<1744> かなで

//<1745> 女生徒
<1745> 女生徒

//<1746> ？？
<1746> ？？

//<1747> 「いつの間にかなくなっていたってことは、あなたたちじゃなく、催眠術をかけられた生徒会に盗まれていたのね」
<1747> 「いつの間にかなくなっていたってことは、あなたたちじゃなく、催眠術をかけられた生徒会に盗まれていたのね」

//<1748> 直井
<1748> 直井

//<1749> 「っ……」
<1749> 「っ……」

//<1750> 直井は顔を歪めただけで何も言わない。図星だったのか。
<1750> 直井は顔を歪めただけで何も言わない。図星だったのか。

//<1751> 日常生活に戻っても、俺は無気力のままでいた。
<1751> 日常生活に戻っても、俺は無気力のままでいた。

//<1752> みんなを一気に失ったせいだ…。
<1752> みんなを一気に失ったせいだ…。

//<1753> しばらくぼーっとしていることしかできない。
<1753> しばらくぼーっとしていることしかできない。

//<1754> これも時間が癒してくれると信じて。
<1754> これも時間が癒してくれると信じて。

//<1755> 白
<1755> 白
{2768c} 0a // 1755

//<1756> nothing
<1756> nothing

//<1757> nothing
<1757> nothing

//<1758> nothing
<1758> nothing

//<1759> nothing
<1759> nothing

//<1760> nothing
<1760> nothing

//<1761> 日向
<1761> 日向

//<1762> 男Ｂ
<1762> 男Ｂ

//<1763> エロエロ団総帥
<1763> エロエロ団総帥

//<1764> イケチン
<1764> イケチン

//<1765> ホモ太
<1765> ホモ太

//<1766> ひなチン
<1766> ひなチン

//<1767> 秀樹
<1767> 秀樹

//<1768> 男子生徒
<1768> 男子生徒

//<1769> ？？
<1769> ？？

//<1770> 「まずは戦線拡大のため、人間探しを頼むよ」
<1770> 「まずは戦線拡大のため、人間探しを頼むよ」

//<1771> そう言われ、出来る限り日向の力になろうと、人間探しを始めた。
<1771> そう言われ、出来る限り日向の力になろうと、人間探しを始めた。

//<1772> けど、一向に見つからない。
<1772> けど、一向に見つからない。

//<1773> コツまで聞いたのに…。
<1773> コツまで聞いたのに…。

//<1774> そう言われ、それに夢中になれれば過去のことは振り切れるんじゃないかと、頑張った。
<1774> そう言われ、それに夢中になれれば過去のことは振り切れるんじゃないかと、頑張った。

//<1775> でも、まったく見つけられないままだった。
<1775> でも、まったく見つけられないままだった。

//<1776> 何の進展もないまま、数日が経った。
<1776> 何の進展もないまま、数日が経った。

//<1777> nothing
<1777> nothing

//<1778> nothing
<1778> nothing

//<1779> nothing
<1779> nothing

//<1780> nothing
<1780> nothing

//<1781> nothing
<1781> nothing

//<1782> 遊佐
<1782> 遊佐

//<1783> 「何を呑気にしているのですか」
<1783> 「何を呑気にしているのですか」

//<1784> 突然現れたが、もう慣れた。
<1784> 突然現れたが、もう慣れた。

//<1785> また突然現れる。
<1785> また突然現れる。

//<1786> 音無
<1786> 音無

//<1787> クソ坊主
<1787> クソ坊主

//<1788> 代理人
<1788> 代理人

//<1789> 微妙すぎるイケメン
<1789> 微妙すぎるイケメン

//<1790> ロリコン
<1790> ロリコン

//<1791> メガネ仲間
<1791> メガネ仲間

//<1792> 暗算日本記録保持者
<1792> 暗算日本記録保持者

//<1793> 通り魔
<1793> 通り魔

//<1794> 記憶ナシ男
<1794> 記憶ナシ男

//<1795> 音速
<1795> 音速

//<1796> 無限
<1796> 無限

//<1797> エロ侍
<1797> エロ侍

//<1798> エロエロ団ナンバー１
<1798> エロエロ団ナンバー１

//<1799> ただのエロ少年
<1799> ただのエロ少年

//<1800> ユリブサイク
<1800> ユリブサイク

//<1801> ドピュッシー
<1801> ドピュッシー

//<1802> アメリカンエロドッグ
<1802> アメリカンエロドッグ

//<1803> ゼウス
<1803> ゼウス

//<1804> 日向markⅡ
<1804> 日向markⅡ

//<1805> 糞虫
<1805> 糞虫

//<1806> 量産型日向
<1806> 量産型日向

//<1807> ？？
<1807> ？？

//<1808> 「そっか…お前も残っていたんだな。どうやって直井の催眠術から逃れたんだ？」
<1808> 「そっか…お前も残っていたんだな。どうやって直井の催眠術から逃れたんだ？」

//<1809> nothing
<1809> nothing

//<1810> nothing
<1810> nothing

//<1811> nothing
<1811> nothing

//<1812> nothing
<1812> nothing

//<1813> nothing
<1813> nothing

//<1814> 遊佐
<1814> 遊佐

//<1815> 「特には」
<1815> 「特には」

//<1816> 音無
<1816> 音無

//<1817> クソ坊主
<1817> クソ坊主

//<1818> 代理人
<1818> 代理人

//<1819> 微妙すぎるイケメン
<1819> 微妙すぎるイケメン

//<1820> ロリコン
<1820> ロリコン

//<1821> メガネ仲間
<1821> メガネ仲間

//<1822> 暗算日本記録保持者
<1822> 暗算日本記録保持者

//<1823> 通り魔
<1823> 通り魔

//<1824> 記憶ナシ男
<1824> 記憶ナシ男

//<1825> 音速
<1825> 音速

//<1826> 無限
<1826> 無限

//<1827> エロ侍
<1827> エロ侍

//<1828> エロエロ団ナンバー１
