// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- EPISODE.Matsushita
<0000> -1st beat- EPISODE.Matsushita

//<0001> 松下
<7164> 「もしかしたら、そういうことがたくさんあるのかも知れない」

//<7165> 松下
<7165> 松下

//<7166> 「でも、陽菜姉ちゃんのほうがもっと、あったかいよ」
<7166> 「でも、陽菜姉ちゃんのほうがもっと、あったかいよ」

//<7167> 松下
<7167> 松下

//<7168> 「…それに、いい匂いだ」
<7168> 「…それに、いい匂いだ」

//<7169> 松下
<7169> 松下

//<7170> 「小さな声で、俺は呟いた」
<7170> 「小さな声で、俺は呟いた」

//<7171> 松下
<7171> 松下

//<7172> 「彼女は、俺の心を照らしてくれた」
<7172> 「彼女は、俺の心を照らしてくれた」

//<7173> 陽菜子
<7173> 陽菜子

//<7174> 「よしっ」
<7174> 「よしっ」

//<7175> 松下
<7175> 松下

//<7176> 「そう言って、陽菜子さんが俺の頭をぽんっと叩いた」
<7176> 「そう言って、陽菜子さんが俺の頭をぽんっと叩いた」

//<7177> 松下
<7177> 松下

//<7178> 「小さな声で、俺は呟いた」
<7178> 「小さな声で、俺は呟いた」

//<7179> 松下
<7179> 松下

//<7180> 「彼女は、俺の心を照らしてくれた」
<7180> 「彼女は、俺の心を照らしてくれた」

//<7181> 陽菜子
<7181> 陽菜子

//<7182> 「よしっ」
<7182> 「よしっ」

//<7183> 松下
<7183> 松下

//<7184> 「そう言って、陽菜子さんが俺の頭をぽんっと叩いた」
<7184> 「そう言って、陽菜子さんが俺の頭をぽんっと叩いた」

//<7185> 陽菜子
<7185> 陽菜子

//<7186> 「頑張れ、少年！」
<7186> 「頑張れ、少年！」

//<7187> 松下
<7187> 松下

//<7188> 「うん」
<7188> 「うん」

//<7189> 俺は素直に頷いた。
<7189> 俺は素直に頷いた。

//<7190> nothing
<7190> nothing

//<7191> nothing
<7191> nothing

//<7192> nothing
<7192> nothing

//<7193> nothing
<7193> nothing

//<7194> nothing
<7194> nothing

//<7195> 音無
<7195> 音無

//<7196> 消去
<7196> 消去

//<7197> …護騨の語る陽菜子さんのことを、俺は何も知らない。
<7197> …護騨の語る陽菜子さんのことを、俺は何も知らない。

//<7198> だが、きっと素敵な人だったのだとわかる。
<7198> だが、きっと素敵な人だったのだとわかる。

//<7199> 他でもない、護騨の口ぶりがそう告げている。
<7199> 他でもない、護騨の口ぶりがそう告げている。

//<7200> 松下
<7200> 松下

//<7201> 「俺は陽菜子さんに連れられて、盲学校に行った」
<7201> 「俺は陽菜子さんに連れられて、盲学校に行った」

//<7202> 松下
<7202> 松下

//<7203> 「そして、柔道を始めることになったんだ」
<7203> 「そして、柔道を始めることになったんだ」

//<7204> 松下
<7204> 松下

//<7205> 「柔道は楽しかった」
<7205> 「柔道は楽しかった」

//<7206> 松下
<7206> 松下

//<7207> 「目の見えなくなった俺でも、できることがあるんだと嬉しかったぜ」
<7207> 「目の見えなくなった俺でも、できることがあるんだと嬉しかったぜ」

//<7208> 松下
<7208> 松下

//<7209> 「俺は、めきめきと力をつけて頭角を現していった」
<7209> 「俺は、めきめきと力をつけて頭角を現していった」

//<7210> 松下
<7210> 松下

//<7211> 「中等部に進んだ頃、彼女は社会人になっていた」
<7211> 「中等部に進んだ頃、彼女は社会人になっていた」

//<7212> 松下
<7212> 松下

//<7213> 「大学を卒業した陽菜子さんは、福祉の仕事をしていた」
<7213> 「大学を卒業した陽菜子さんは、福祉の仕事をしていた」

//<7214> 松下
<7214> 松下

//<7215> 「弱視の自分だからこそできることがあるはずだ、って言ってな」
<7215> 「弱視の自分だからこそできることがあるはずだ、って言ってな」

//<7216> 松下
<7216> 松下

//<7217> 「…彼女は、まるで太陽みたいな人だった」
<7217> 「…彼女は、まるで太陽みたいな人だった」

//<7218> 松下
<7218> 松下

//<7219> 「…とても大きくて、暖かくて、優しい人だった」
<7219> 「…とても大きくて、暖かくて、優しい人だった」

//<7220> 護騨が噛みしめるように口にする。
<7220> 護騨が噛みしめるように口にする。

//<7221> 茶化したりはできない。
<7221> 茶化したりはできない。

//<7222> 俺は、黙って聞いている。
<7222> 俺は、黙って聞いている。

//<7223> 松下
<7223> 松下

//<7224> 「俺は気づいていた」
<7224> 「俺は気づいていた」

//<7225> 松下
<7225> 松下

//<7226> 「俺は、彼女に恋をしている、って」
<7226> 「俺は、彼女に恋をしている、って」

//<7227> さすがに少し恥ずかしそうに、でも真剣な顔をしていた。
<7227> さすがに少し恥ずかしそうに、でも真剣な顔をしていた。

//<7228> 松下
<7228> 松下

//<7229> 「もちろん、その思いを告げることなど、想像も及ばなかったがな…」
<7229> 「もちろん、その思いを告げることなど、想像も及ばなかったがな…」

//<7230> そう付け加える。
<7230> そう付け加える。

//<7231> 今のイケメンっぷりなら脈はあったかもしれないぞ…。
<7231> 今のイケメンっぷりなら脈はあったかもしれないぞ…。

//<7232> 音無
<7232> 音無

//<7233> クソ坊主
<7233> クソ坊主

//<7234> 代理人
<7234> 代理人

//<7235> 微妙すぎるイケメン
<7235> 微妙すぎるイケメン

//<7236> ロリコン
<7236> ロリコン

//<7237> メガネ仲間
<7237> メガネ仲間

//<7238> 暗算日本記録保持者
<7238> 暗算日本記録保持者

//<7239> 通り魔
<7239> 通り魔

//<7240> 記憶ナシ男
<7240> 記憶ナシ男

//<7241> 音速
<7241> 音速

//<7242> 無限
<7242> 無限

//<7243> エロ侍
<7243> エロ侍

//<7244> エロエロ団ナンバー１
<7244> エロエロ団ナンバー１

//<7245> ただのエロ少年
<7245> ただのエロ少年

//<7246> ユリブサイク
<7246> ユリブサイク

//<7247> ドピュッシー
<7247> ドピュッシー

//<7248> アメリカンエロドッグ
<7248> アメリカンエロドッグ

//<7249> ゼウス
<7249> ゼウス

//<7250> 日向markⅡ
<7250> 日向markⅡ

//<7251> 糞虫
<7251> 糞虫

//<7252> 量産型日向
<7252> 量産型日向

//<7253> ？？
<7253> ？？

//<7254> 「もっと、陽菜子さんのことを聞かせてくれないか？」
<7254> 「もっと、陽菜子さんのことを聞かせてくれないか？」

//<7255> 松下
<7255> 松下

//<7256> 「そうだな。彼女との思い出は尽きねぇが…そう、こんなことがあったぜ」
<7256> 「そうだな。彼女との思い出は尽きねぇが…そう、こんなことがあったぜ」

//<7257> 思い出すように、一息つく。
<7257> 思い出すように、一息つく。

//<7258> 松下
<7258> 松下

//<7259> 「あれは、高等部二年生の夏だった」
<7259> 「あれは、高等部二年生の夏だった」

//<7260> 松下
<7260> 松下

//<7261> 「その夏、驚くべきことに俺は全国大会への出場を決めていた」
<7261> 「その夏、驚くべきことに俺は全国大会への出場を決めていた」

//<7262> 松下
<7262> 松下

//<7263> 「７３キロ級で、俺は勝ち進んでいたのさ」
<7263> 「７３キロ級で、俺は勝ち進んでいたのさ」

//<7264> 音無
<7264> 音無

//<7265> クソ坊主
<7265> クソ坊主

//<7266> 代理人
<7266> 代理人

//<7267> 微妙すぎるイケメン
<7267> 微妙すぎるイケメン

//<7268> ロリコン
<7268> ロリコン

//<7269> メガネ仲間
<7269> メガネ仲間

//<7270> 暗算日本記録保持者
<7270> 暗算日本記録保持者

//<7271> 通り魔
<7271> 通り魔

//<7272> 記憶ナシ男
<7272> 記憶ナシ男

//<7273> 音速
<7273> 音速

//<7274> 無限
<7274> 無限

//<7275> エロ侍
<7275> エロ侍

//<7276> エロエロ団ナンバー１
<7276> エロエロ団ナンバー１

//<7277> ただのエロ少年
<7277> ただのエロ少年

//<7278> ユリブサイク
<7278> ユリブサイク

//<7279> ドピュッシー
<7279> ドピュッシー

//<7280> アメリカンエロドッグ
<7280> アメリカンエロドッグ

//<7281> ゼウス
<7281> ゼウス

//<7282> 日向markⅡ
<7282> 日向markⅡ

//<7283> 糞虫
<7283> 糞虫

//<7284> 量産型日向
<7284> 量産型日向

//<7285> ？？
<7285> ？？

//<7286> 「へぇ」
<7286> 「へぇ」

//<7287> 見た目相応だ。引き締まった筋肉のぶん、今のほうが重そうではあるが。
<7287> 見た目相応だ。引き締まった筋肉のぶん、今のほうが重そうではあるが。

//<7288> 松下
<7288> 松下

//<7289> 「その大会で、俺は最年少ながら決勝戦まで進んだ」
<7289> 「その大会で、俺は最年少ながら決勝戦まで進んだ」

//<7290> 松下
<7290> 松下

//<7291> 「休憩時間、俺は控え室で緊張していた。情けねぇことにな」
<7291> 「休憩時間、俺は控え室で緊張していた。情けねぇことにな」

//<7292> 松下
<7292> 松下

//<7293> 「相手は優勝候補の筆頭。負けるのは、当然だ」
<7293> 「相手は優勝候補の筆頭。負けるのは、当然だ」

//<7294> 松下
<7294> 松下

//<7295> 「だが、負けたくなかった」
<7295> 「だが、負けたくなかった」

//<7296> 松下
<7296> 松下

//<7297> 「ここまで来たんだから、勝ちたい」
<7297> 「ここまで来たんだから、勝ちたい」

//<7298> 松下
<7298> 松下

//<7299> 「そう、願った」
<7299> 「そう、願った」

//<7300> 松下
<7300> 松下

//<7301> 「そんな控え室の俺のところに、陽菜子さんが訪ねてきたんだ」
<7301> 「そんな控え室の俺のところに、陽菜子さんが訪ねてきたんだ」

//<7302> 松下
<7302> 松下

//<7303> 「『騨ちゃん、まだ時間はあるの？』って」
<7303> 「『騨ちゃん、まだ時間はあるの？』って」

//<7304> 松下
<7304> 松下

//<7305> 「…少しだけなら、と答えた」
<7305> 「…少しだけなら、と答えた」

//<7306> 松下
<7306> 松下

//<7307> 「お散歩に行こうとのんびりした声で誘われた」
<7307> 「お散歩に行こうとのんびりした声で誘われた」

//<7308> 松下
<7308> 松下

//<7309> 「あまりに呑気な感じで、釣られるように頷いてた」
<7309> 「あまりに呑気な感じで、釣られるように頷いてた」

//<7310> 松下
<7310> 松下

//<7311> 消去
<7311> 消去

//<7312> 陽菜子
<7312> 陽菜子

//<7313> 「すっごく素敵なところを見つけたんだよ」
<7313> 「すっごく素敵なところを見つけたんだよ」

//<7314> 松下
<7314> 松下

//<7315> 「俺は陽菜子さんに手を引かれて、歩いたんだ」
<7315> 「俺は陽菜子さんに手を引かれて、歩いたんだ」

//<7316> 松下
<7316> 松下

//<7317> 「何をしているんだろう、という疑問と、彼女の手の柔らかさに気恥ずかしさを感じながらな…」
<7317> 「何をしているんだろう、という疑問と、彼女の手の柔らかさに気恥ずかしさを感じながらな…」

//<7318> 松下
<7318> 松下

//<7319> 「俺は陽菜子さんに連れられて、盲学校に赴いた」
<7319> 「俺は陽菜子さんに連れられて、盲学校に赴いた」

//<7320> 松下
<7320> 松下

//<7321> 「そして、柔道を始めることになったんだ」
<7321> 「そして、柔道を始めることになったんだ」

//<7322> 松下
<7322> 松下

//<7323> 「柔道は楽しかった」
<7323> 「柔道は楽しかった」

//<7324> 松下
<7324> 松下

//<7325> 「目の見えなくなった俺でも、できることがあるんだと嬉しかった」
<7325> 「目の見えなくなった俺でも、できることがあるんだと嬉しかった」

//<7326> 松下
<7326> 松下

//<7327> 「俺は、めきめきと力をつけて頭角を現していった」
