// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 99_場所選択マップ
<0000> 99_場所選択マップ
//<1470> 糞虫
<1470> 糞虫

//<1471> 量産型日向
<1471> 量産型日向

//<1472> ？？
<1472> ？？

//<1473> 「つぅーーーーーっ！！」
<1473> 「つぅーーーーーっ！！」

//<1474> 痛みのあまり、一度床に突っ伏すが、すぐ起き上がる。
<1474> 痛みのあまり、一度床に突っ伏すが、すぐ起き上がる。

//<1475> 音無
<1475> 音無

//<1476> クソ坊主
<1476> クソ坊主

//<1477> 代理人
<1477> 代理人

//<1478> 微妙すぎるイケメン
<1478> 微妙すぎるイケメン

//<1479> ロリコン
<1479> ロリコン

//<1480> メガネ仲間
<1480> メガネ仲間

//<1481> 暗算日本記録保持者
<1481> 暗算日本記録保持者

//<1482> 通り魔
<1482> 通り魔

//<1483> 記憶ナシ男
<1483> 記憶ナシ男

//<1484> 音速
<1484> 音速

//<1485> 無限
<1485> 無限

//<1486> エロ侍
<1486> エロ侍

//<1487> エロエロ団ナンバー１
<1487> エロエロ団ナンバー１

//<1488> ただのエロ少年
<1488> ただのエロ少年

//<1489> ユリブサイク
<1489> ユリブサイク

//<1490> ドピュッシー
<1490> ドピュッシー

//<1491> アメリカンエロドッグ
<1491> アメリカンエロドッグ

//<1492> ゼウス
<1492> ゼウス

//<1493> 日向markⅡ
<1493> 日向markⅡ

//<1494> 糞虫
<1494> 糞虫

//<1495> 量産型日向
<1495> 量産型日向

//<1496> ？？
<1496> ？？

//<1497> 「それは、そうだけど…俺からはお前のほうが体を張って、イケていたと俺は思う」
<1497> 「それは、そうだけど…俺からはお前のほうが体を張って、イケていたと俺は思う」

//<1498> none
<1498> none

//<1499> bs3_
<1499> bs3_

//<1500> nothing
<1500> nothing

//<1501> nothing
<1501> nothing

//<1502> nothing
<1502> nothing

//<1503> nothing
<1503> nothing

//<1504> nothing
<1504> nothing

//<1505> nothing
<1505> nothing

//<1506> 
<1506> 

//<1507> 
<1507> 

//<1508> nothing
<1508> nothing

//<1509> 日向
<1509> 日向

//<1510> 男Ｂ
<1510> 男Ｂ

//<1511> エロエロ団総帥
<1511> エロエロ団総帥

//<1512> イケチン
<1512> イケチン

//<1513> ホモ太
<1513> ホモ太

//<1514> ひなチン
<1514> ひなチン

//<1515> 秀樹
<1515> 秀樹

//<1516> 男子生徒
<1516> 男子生徒

//<1517> ？？
<1517> ？？

//<1518> 「あんな無様な姿だぜ？　無理矢理褒めるなよー！」
<1518> 「あんな無様な姿だぜ？　無理矢理褒めるなよー！」

//<1519> 音無
<1519> 音無

//<1520> クソ坊主
<1520> クソ坊主

//<1521> 代理人
<1521> 代理人

//<1522> 微妙すぎるイケメン
<1522> 微妙すぎるイケメン

//<1523> ロリコン
<1523> ロリコン

//<1524> メガネ仲間
<1524> メガネ仲間

//<1525> 暗算日本記録保持者
<1525> 暗算日本記録保持者

//<1526> 通り魔
<1526> 通り魔

//<1527> 記憶ナシ男
<1527> 記憶ナシ男

//<1528> 音速
<1528> 音速

//<1529> 無限
<1529> 無限

//<1530> エロ侍
<1530> エロ侍

//<1531> エロエロ団ナンバー１
<1531> エロエロ団ナンバー１

//<1532> ただのエロ少年
<1532> ただのエロ少年

//<1533> ユリブサイク
<1533> ユリブサイク

//<1534> ドピュッシー
<1534> ドピュッシー

//<1535> アメリカンエロドッグ
<1535> アメリカンエロドッグ

//<1536> ゼウス
<1536> ゼウス

//<1537> 日向markⅡ
<1537> 日向markⅡ

//<1538> 糞虫
<1538> 糞虫

//<1539> 量産型日向
<1539> 量産型日向

//<1540> ？？
<1540> ？？

//<1541> 「いやいや、あれだけ絵になるのはお前のその体のフォルムのせいだぜぇーー！？」
<1541> 「いやいや、あれだけ絵になるのはお前のその体のフォルムのせいだぜぇーー！？」

//<1542> nothing
<1542> nothing

//<1543> nothing
<1543> nothing

//<1544> nothing
<1544> nothing

//<1545> nothing
<1545> nothing

//<1546> nothing
<1546> nothing

//<1547> 日向
<1547> 日向

//<1548> 男Ｂ
<1548> 男Ｂ

//<1549> エロエロ団総帥
<1549> エロエロ団総帥

//<1550> イケチン
<1550> イケチン

//<1551> ホモ太
<1551> ホモ太

//<1552> ひなチン
<1552> ひなチン

//<1553> 秀樹
<1553> 秀樹

//<1554> 男子生徒
<1554> 男子生徒

//<1555> ？？
<1555> ？？

//<1556> 「マジかよーー！！　だったら嬉しいぜぇーー！！」
<1556> 「マジかよーー！！　だったら嬉しいぜぇーー！！」

//<1557> また日向とキャッキャウフフした。
<1557> また日向とキャッキャウフフした。

//<1558> none
<1558> none

//<1559> none
<1559> none

//<1560> none
<1560> none

//<1561> none
<1561> none

//<1562> none
<1562> none

//<1563> none
<1563> none

//<1564> オペレーション後とあり、日向とゆっくりまったり、夕飯を食べた。
<1564> オペレーション後とあり、日向とゆっくりまったり、夕飯を食べた。

//<1565> その後、寮に戻り、風呂に入る支度をしているところで。
<1565> その後、寮に戻り、風呂に入る支度をしているところで。

//<1566> nothing
<1566> nothing

//<1567> nothing
<1567> nothing

//<1568> nothing
<1568> nothing

//<1569> nothing
<1569> nothing

//<1570> nothing
<1570> nothing

//<1571> 遊佐
<1571> 遊佐

//<1572> 「音無さん」
<1572> 「音無さん」

//<1573> 音無
<1573> 音無

//<1574> クソ坊主
<1574> クソ坊主

//<1575> 代理人
<1575> 代理人

//<1576> 微妙すぎるイケメン
<1576> 微妙すぎるイケメン

//<1577> ロリコン
<1577> ロリコン

//<1578> メガネ仲間
<1578> メガネ仲間

//<1579> 暗算日本記録保持者
<1579> 暗算日本記録保持者

//<1580> 通り魔
<1580> 通り魔

//<1581> 記憶ナシ男
<1581> 記憶ナシ男

//<1582> 音速
<1582> 音速

//<1583> 無限
<1583> 無限

//<1584> エロ侍
<1584> エロ侍

//<1585> エロエロ団ナンバー１
<1585> エロエロ団ナンバー１

//<1586> ただのエロ少年
<1586> ただのエロ少年

//<1587> ユリブサイク
<1587> ユリブサイク

//<1588> ドピュッシー
<1588> ドピュッシー

//<1589> アメリカンエロドッグ
<1589> アメリカンエロドッグ

//<1590> ゼウス
<1590> ゼウス

//<1591> 日向markⅡ
<1591> 日向markⅡ

//<1592> 糞虫
<1592> 糞虫

//<1593> 量産型日向
<1593> 量産型日向

//<1594> ？？
<1594> ？？

//<1595> 「うわ、また出たあ！！」
<1595> 「うわ、また出たあ！！」

//<1596> 日向
<1596> 日向

//<1597> 男Ｂ
<1597> 男Ｂ

//<1598> エロエロ団総帥
<1598> エロエロ団総帥

//<1599> イケチン
<1599> イケチン

//<1600> ホモ太
<1600> ホモ太

//<1601> ひなチン
<1601> ひなチン

//<1602> 秀樹
<1602> 秀樹

//<1603> 男子生徒
<1603> 男子生徒

//<1604> ？？
<1604> ？？

//<1605> 「だから、ここ男子寮だかんな…」
<1605> 「だから、ここ男子寮だかんな…」

//<1606> 音無
<1606> 音無

//<1607> クソ坊主
<1607> クソ坊主

//<1608> 代理人
<1608> 代理人

//<1609> 微妙すぎるイケメン
<1609> 微妙すぎるイケメン

//<1610> ロリコン
<1610> ロリコン

//<1611> メガネ仲間
<1611> メガネ仲間

//<1612> 暗算日本記録保持者
<1612> 暗算日本記録保持者

//<1613> 通り魔
<1613> 通り魔

//<1614> 記憶ナシ男
<1614> 記憶ナシ男

//<1615> 音速
<1615> 音速

//<1616> 無限
<1616> 無限

//<1617> エロ侍
<1617> エロ侍

//<1618> エロエロ団ナンバー１
<1618> エロエロ団ナンバー１

//<1619> ただのエロ少年
<1619> ただのエロ少年

//<1620> ユリブサイク
<1620> ユリブサイク

//<1621> ドピュッシー
<1621> ドピュッシー

//<1622> アメリカンエロドッグ
<1622> アメリカンエロドッグ

//<1623> ゼウス
<1623> ゼウス

//<1624> 日向markⅡ
<1624> 日向markⅡ

//<1625> 糞虫
<1625> 糞虫

//<1626> 量産型日向
<1626> 量産型日向

//<1627> ？？
<1627> ？？

//<1628> 「今の俺は、量産型日向ですが、何か？」
<1628> 「今の俺は、量産型日向ですが、何か？」

//<1629> nothing
<1629> nothing

//<1630> nothing
<1630> nothing

//<1631> nothing
<1631> nothing

//<1632> nothing
<1632> nothing

//<1633> nothing
<1633> nothing

//<1634> 日向
<1634> 日向

//<1635> 男Ｂ
<1635> 男Ｂ

//<1636> エロエロ団総帥
<1636> エロエロ団総帥

//<1637> イケチン
<1637> イケチン

//<1638> ホモ太
<1638> ホモ太

//<1639> ひなチン
<1639> ひなチン

//<1640> 秀樹
<1640> 秀樹

//<1641> 男子生徒
<1641> 男子生徒

//<1642> ？？
<1642> ？？

//<1643> 「今のお前は糞虫だろっ！」
<1643> 「今のお前は糞虫だろっ！」

//<1644> nothing
<1644> nothing

//<1645> nothing
<1645> nothing

//<1646> nothing
<1646> nothing

//<1647> nothing
<1647> nothing

//<1648> nothing
<1648> nothing

//<1649> 音無
<1649> 音無

//<1650> クソ坊主
<1650> クソ坊主

//<1651> 代理人
<1651> 代理人

//<1652> 微妙すぎるイケメン
<1652> 微妙すぎるイケメン

//<1653> ロリコン
<1653> ロリコン

//<1654> メガネ仲間
<1654> メガネ仲間

//<1655> 暗算日本記録保持者
<1655> 暗算日本記録保持者

//<1656> 通り魔
<1656> 通り魔

//<1657> 記憶ナシ男
<1657> 記憶ナシ男

//<1658> 音速
<1658> 音速

//<1659> 無限
<1659> 無限

//<1660> エロ侍
<1660> エロ侍

//<1661> エロエロ団ナンバー１
<1661> エロエロ団ナンバー１

//<1662> ただのエロ少年
<1662> ただのエロ少年

//<1663> ユリブサイク
<1663> ユリブサイク

//<1664> ドピュッシー
<1664> ドピュッシー

//<1665> アメリカンエロドッグ
<1665> アメリカンエロドッグ

//<1666> ゼウス
<1666> ゼウス

//<1667> 日向markⅡ
<1667> 日向markⅡ

//<1668> 糞虫
<1668> 糞虫

//<1669> 量産型日向
<1669> 量産型日向

//<1670> ？？
<1670> ？？

//<1671> 「おっと、間違えた…今の俺は、糞虫ですが、何か？」
<1671> 「おっと、間違えた…今の俺は、糞虫ですが、何か？」

//<1672> 音無
<1672> 音無

//<1673> クソ坊主
<1673> クソ坊主

//<1674> 代理人
<1674> 代理人

//<1675> 微妙すぎるイケメン
<1675> 微妙すぎるイケメン

//<1676> ロリコン
<1676> ロリコン

//<1677> メガネ仲間
<1677> メガネ仲間

//<1678> 暗算日本記録保持者
<1678> 暗算日本記録保持者

//<1679> 通り魔
<1679> 通り魔

//<1680> 記憶ナシ男
<1680> 記憶ナシ男

//<1681> 音速
<1681> 音速

//<1682> 無限
<1682> 無限

//<1683> エロ侍
<1683> エロ侍

//<1684> エロエロ団ナンバー１
<1684> エロエロ団ナンバー１

//<1685> ただのエロ少年
<1685> ただのエロ少年

//<1686> ユリブサイク
<1686> ユリブサイク

//<1687> ドピュッシー
<1687> ドピュッシー

//<1688> アメリカンエロドッグ
<1688> アメリカンエロドッグ

//<1689> ゼウス
<1689> ゼウス

//<1690> 日向markⅡ
<1690> 日向markⅡ

//<1691> 糞虫
<1691> 糞虫

//<1692> 量産型日向
<1692> 量産型日向

//<1693> ？？
<1693> ？？

//<1694> 「今の俺は、日向
<1694> 「今の俺は、日向

//<1695> mark
<1695> mark

//<1696> Ⅱですが、何か？」
<1696> Ⅱですが、何か？」

//<1697> nothing
<1697> nothing

//<1698> nothing
<1698> nothing

//<1699> nothing
<1699> nothing

//<1700> nothing
<1700> nothing

//<1701> nothing
<1701> nothing

//<1702> 日向
<1702> 日向

//<1703> 男Ｂ
<1703> 男Ｂ

//<1704> エロエロ団総帥
<1704> エロエロ団総帥

//<1705> イケチン
<1705> イケチン

//<1706> ホモ太
<1706> ホモ太

//<1707> ひなチン
<1707> ひなチン

//<1708> 秀樹
<1708> 秀樹

//<1709> 男子生徒
<1709> 男子生徒

//<1710> ？？
<1710> ？？

//<1711> 「今のお前は量産型日向だろっ！」
<1711> 「今のお前は量産型日向だろっ！」

//<1712> nothing
<1712> nothing

//<1713> nothing
<1713> nothing

//<1714> nothing
<1714> nothing

//<1715> nothing
<1715> nothing

//<1716> nothing
<1716> nothing

//<1717> 音無
<1717> 音無

//<1718> クソ坊主
<1718> クソ坊主

//<1719> 代理人
<1719> 代理人

//<1720> 微妙すぎるイケメン
<1720> 微妙すぎるイケメン

//<1721> ロリコン
<1721> ロリコン

//<1722> メガネ仲間
<1722> メガネ仲間

//<1723> 暗算日本記録保持者
<1723> 暗算日本記録保持者

//<1724> 通り魔
<1724> 通り魔

//<1725> 記憶ナシ男
<1725> 記憶ナシ男

//<1726> 音速
<1726> 音速

//<1727> 無限
<1727> 無限

//<1728> エロ侍
<1728> エロ侍

//<1729> エロエロ団ナンバー１
<1729> エロエロ団ナンバー１

//<1730> ただのエロ少年
<1730> ただのエロ少年

//<1731> ユリブサイク
<1731> ユリブサイク

//<1732> ドピュッシー
<1732> ドピュッシー

//<1733> アメリカンエロドッグ
<1733> アメリカンエロドッグ

//<1734> ゼウス
<1734> ゼウス

//<1735> 日向markⅡ
<1735> 日向markⅡ

//<1736> 糞虫
<1736> 糞虫

//<1737> 量産型日向
<1737> 量産型日向

//<1738> ？？
<1738> ？？

//<1739> 「おっと、間違えた…今の俺は、量産型日向ですが、何か？」
<1739> 「おっと、間違えた…今の俺は、量産型日向ですが、何か？」

//<1740> nothing
<1740> nothing

//<1741> nothing
<1741> nothing

//<1742> nothing
<1742> nothing

//<1743> nothing
<1743> nothing

//<1744> nothing
<1744> nothing

//<1745> 遊佐
<1745> 遊佐

//<1746> 「ゆりっぺさんがお呼びです」
<1746> 「ゆりっぺさんがお呼びです」

//<1747> 音無
<1747> 音無

//<1748> クソ坊主
<1748> クソ坊主

//<1749> 代理人
<1749> 代理人

//<1750> 微妙すぎるイケメン
<1750> 微妙すぎるイケメン

//<1751> ロリコン
<1751> ロリコン

//<1752> メガネ仲間
<1752> メガネ仲間

//<1753> 暗算日本記録保持者
<1753> 暗算日本記録保持者

//<1754> 通り魔
<1754> 通り魔

//<1755> 記憶ナシ男
<1755> 記憶ナシ男

//<1756> 音速
<1756> 音速

//<1757> 無限
<1757> 無限

//<1758> エロ侍
<1758> エロ侍

//<1759> エロエロ団ナンバー１
<1759> エロエロ団ナンバー１

//<1760> ただのエロ少年
<1760> ただのエロ少年

//<1761> ユリブサイク
<1761> ユリブサイク

//<1762> ドピュッシー
<1762> ドピュッシー

//<1763> アメリカンエロドッグ
<1763> アメリカンエロドッグ

//<1764> ゼウス
<1764> ゼウス

//<1765> 日向markⅡ
<1765> 日向markⅡ

//<1766> 糞虫
<1766> 糞虫

//<1767> 量産型日向
<1767> 量産型日向

//<1768> ？？
<1768> ？？

//<1769> （今のネタ、スルーかよ…）
<1769> （今のネタ、スルーかよ…）

//<1770> 遊佐を相手に期待はしていなかったけど。
<1770> 遊佐を相手に期待はしていなかったけど。

//<1771> それより、ゆりの呼び出しについてだ。
<1771> それより、ゆりの呼び出しについてだ。

//<1772> ドキッとする。
<1772> ドキッとする。

//<1773> 思い当たるのは、戦線メンバーとしてのモラルに反する行動。
<1773> 思い当たるのは、戦線メンバーとしてのモラルに反する行動。

//<1774> 授業を受けたり、天使と話をしたり…。
<1774> 授業を受けたり、天使と話をしたり…。

//<1775> その上、作戦の内容を天使に話したこともある。
<1775> その上、作戦の内容を天使に話したこともある。

//<1776> ゆりのことだ、もしかしたらその事実を握っているのかもしれない。
<1776> ゆりのことだ、もしかしたらその事実を握っているのかもしれない。

//<1777> 音無
<1777> 音無

//<1778> クソ坊主
<1778> クソ坊主

//<1779> 代理人
<1779> 代理人

//<1780> 微妙すぎるイケメン
<1780> 微妙すぎるイケメン

//<1781> ロリコン
<1781> ロリコン

//<1782> メガネ仲間
<1782> メガネ仲間

//<1783> 暗算日本記録保持者
<1783> 暗算日本記録保持者

//<1784> 通り魔
<1784> 通り魔

//<1785> 記憶ナシ男
<1785> 記憶ナシ男

//<1786> 音速
<1786> 音速

//<1787> 無限
<1787> 無限

//<1788> エロ侍
<1788> エロ侍

//<1789> エロエロ団ナンバー１
<1789> エロエロ団ナンバー１

//<1790> ただのエロ少年
<1790> ただのエロ少年

//<1791> ユリブサイク
<1791> ユリブサイク

//<1792> ドピュッシー
<1792> ドピュッシー

//<1793> アメリカンエロドッグ
<1793> アメリカンエロドッグ

//<1794> ゼウス
<1794> ゼウス

//<1795> 日向markⅡ
<1795> 日向markⅡ

//<1796> 糞虫
<1796> 糞虫

//<1797> 量産型日向
<1797> 量産型日向

//<1798> ？？
<1798> ？？

//<1799> （俺の行動くらいお見通し、ってことか…）
<1799> （俺の行動くらいお見通し、ってことか…）

//<1800> nothing
<1800> nothing

//<1801> nothing
<1801> nothing

//<1802> nothing
<1802> nothing

//<1803> nothing
<1803> nothing

//<1804> nothing
<1804> nothing

//<1805> 日向
<1805> 日向

//<1806> 男Ｂ
<1806> 男Ｂ

//<1807> エロエロ団総帥
<1807> エロエロ団総帥

//<1808> イケチン
<1808> イケチン

//<1809> ホモ太
<1809> ホモ太

//<1810> ひなチン
<1810> ひなチン

//<1811> 秀樹
<1811> 秀樹

//<1812> 男子生徒
<1812> 男子生徒

//<1813> ？？
<1813> ？？

//<1814> 「なんかわかんねーけど、いってらっさい」
<1814> 「なんかわかんねーけど、いってらっさい」

//<1815> 音無
<1815> 音無

//<1816> クソ坊主
<1816> クソ坊主

//<1817> 代理人
<1817> 代理人
