// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<5301> 微妙すぎるイケメン

//<5302> ロリコン
<5302> ロリコン

//<5303> メガネ仲間
<5303> メガネ仲間

//<5304> 暗算日本記録保持者
<5304> 暗算日本記録保持者

//<5305> 通り魔
<5305> 通り魔

//<5306> 記憶ナシ男
<5306> 記憶ナシ男

//<5307> 音速
<5307> 音速

//<5308> 無限
<5308> 無限

//<5309> エロ侍
<5309> エロ侍

//<5310> エロエロ団ナンバー１
<5310> エロエロ団ナンバー１

//<5311> ただのエロ少年
<5311> ただのエロ少年

//<5312> ユリブサイク
<5312> ユリブサイク

//<5313> ドピュッシー
<5313> ドピュッシー

//<5314> アメリカンエロドッグ
<5314> アメリカンエロドッグ

//<5315> ゼウス
<5315> ゼウス

//<5316> 日向markⅡ
<5316> 日向markⅡ

//<5317> 糞虫
<5317> 糞虫

//<5318> 量産型日向
<5318> 量産型日向

//<5319> ？？
<5319> ？？

//<5320> 「いや、以前に、ひさ子から怒りを買った技があって、それをまた発動させてしまったんだ…」
<5320> 「いや、以前に、ひさ子から怒りを買った技があって、それをまた発動させてしまったんだ…」

//<5321> nothing
<5321> nothing

//<5322> nothing
<5322> nothing

//<5323> nothing
<5323> nothing

//<5324> nothing
<5324> nothing

//<5325> nothing
<5325> nothing

//<5326> 日向
<5326> 日向

//<5327> 男Ｂ
<5327> 男Ｂ

//<5328> エロエロ団総帥
<5328> エロエロ団総帥

//<5329> イケチン
<5329> イケチン

//<5330> ホモ太
<5330> ホモ太

//<5331> ひなチン
<5331> ひなチン

//<5332> 秀樹
<5332> 秀樹

//<5333> 男子生徒
<5333> 男子生徒

//<5334> ？？
<5334> ？？

//<5335> 「言ってる意味はさっぱりわからねーけど、ひさ子は駄目だってこったな…」
<5335> 「言ってる意味はさっぱりわからねーけど、ひさ子は駄目だってこったな…」

//<5336> 音無
<5336> 音無

//<5337> クソ坊主
<5337> クソ坊主

//<5338> 代理人
<5338> 代理人

//<5339> 微妙すぎるイケメン
<5339> 微妙すぎるイケメン

//<5340> ロリコン
<5340> ロリコン

//<5341> メガネ仲間
<5341> メガネ仲間

//<5342> 暗算日本記録保持者
<5342> 暗算日本記録保持者

//<5343> 通り魔
<5343> 通り魔

//<5344> 記憶ナシ男
<5344> 記憶ナシ男

//<5345> 音速
<5345> 音速

//<5346> 無限
<5346> 無限

//<5347> エロ侍
<5347> エロ侍

//<5348> エロエロ団ナンバー１
<5348> エロエロ団ナンバー１

//<5349> ただのエロ少年
<5349> ただのエロ少年

//<5350> ユリブサイク
<5350> ユリブサイク

//<5351> ドピュッシー
<5351> ドピュッシー

//<5352> アメリカンエロドッグ
<5352> アメリカンエロドッグ

//<5353> ゼウス
<5353> ゼウス

//<5354> 日向markⅡ
<5354> 日向markⅡ

//<5355> 糞虫
<5355> 糞虫

//<5356> 量産型日向
<5356> 量産型日向

//<5357> ？？
<5357> ？？

//<5358> 「すまん…」
<5358> 「すまん…」

//<5359> nothing
<5359> nothing

//<5360> nothing
<5360> nothing

//<5361> nothing
<5361> nothing

//<5362> nothing
<5362> nothing

//<5363> nothing
<5363> nothing

//<5364> 日向
<5364> 日向

//<5365> 男Ｂ
<5365> 男Ｂ

//<5366> エロエロ団総帥
<5366> エロエロ団総帥

//<5367> イケチン
<5367> イケチン

//<5368> ホモ太
<5368> ホモ太

//<5369> ひなチン
<5369> ひなチン

//<5370> 秀樹
<5370> 秀樹

//<5371> 男子生徒
<5371> 男子生徒

//<5372> ？？
<5372> ？？

//<5373> 「まあまあ、そこまで落ち込みなさんな」
<5373> 「まあまあ、そこまで落ち込みなさんな」

//<5374> nothing
<5374> nothing

//<5375> nothing
<5375> nothing

//<5376> nothing
<5376> nothing

//<5377> nothing
<5377> nothing

//<5378> nothing
<5378> nothing

//<5379> 日向
<5379> 日向

//<5380> 男Ｂ
<5380> 男Ｂ

//<5381> エロエロ団総帥
<5381> エロエロ団総帥

//<5382> イケチン
<5382> イケチン

//<5383> ホモ太
<5383> ホモ太

//<5384> ひなチン
<5384> ひなチン

//<5385> 秀樹
<5385> 秀樹

//<5386> 男子生徒
<5386> 男子生徒

//<5387> ？？
<5387> ？？

//<5388> 「ちっとばかし卑怯だが、リーダー格の松下五段をメンバーに誘うぜ」
<5388> 「ちっとばかし卑怯だが、リーダー格の松下五段をメンバーに誘うぜ」

//<5389> 音無
<5389> 音無

//<5390> クソ坊主
<5390> クソ坊主

//<5391> 代理人
<5391> 代理人

//<5392> 微妙すぎるイケメン
<5392> 微妙すぎるイケメン

//<5393> ロリコン
<5393> ロリコン

//<5394> メガネ仲間
<5394> メガネ仲間

//<5395> 暗算日本記録保持者
<5395> 暗算日本記録保持者

//<5396> 通り魔
<5396> 通り魔

//<5397> 記憶ナシ男
<5397> 記憶ナシ男

//<5398> 音速
<5398> 音速

//<5399> 無限
<5399> 無限

//<5400> エロ侍
<5400> エロ侍

//<5401> エロエロ団ナンバー１
<5401> エロエロ団ナンバー１

//<5402> ただのエロ少年
<5402> ただのエロ少年

//<5403> ユリブサイク
<5403> ユリブサイク

//<5404> ドピュッシー
<5404> ドピュッシー

//<5405> アメリカンエロドッグ
<5405> アメリカンエロドッグ

//<5406> ゼウス
<5406> ゼウス

//<5407> 日向markⅡ
<5407> 日向markⅡ

//<5408> 糞虫
<5408> 糞虫

//<5409> 量産型日向
<5409> 量産型日向

//<5410> ？？
<5410> ？？

//<5411> 「のようだな…」
<5411> 「のようだな…」

//<5412> nothing
<5412> nothing

//<5413> nothing
<5413> nothing

//<5414> nothing
<5414> nothing

//<5415> nothing
<5415> nothing

//<5416> nothing
<5416> nothing

//<5417> 日向
<5417> 日向

//<5418> 男Ｂ
<5418> 男Ｂ

//<5419> エロエロ団総帥
<5419> エロエロ団総帥

//<5420> イケチン
<5420> イケチン

//<5421> ホモ太
<5421> ホモ太

//<5422> ひなチン
<5422> ひなチン

//<5423> 秀樹
<5423> 秀樹

//<5424> 男子生徒
<5424> 男子生徒

//<5425> ？？
<5425> ？？

//<5426> 「気を取り直して、次、行きますか」
<5426> 「気を取り直して、次、行きますか」

//<5427> 自重しておく。
<5427> 自重しておく。

//<5428> nothing
<5428> nothing

//<5429> nothing
<5429> nothing

//<5430> nothing
<5430> nothing

//<5431> nothing
<5431> nothing

//<5432> nothing
<5432> nothing

//<5433> ひさ子
<5433> ひさ子

//<5434> 「あんたらのチームに加えられると、その罰ゲームが発生しちまう。そんなのごめんだぜ」
<5434> 「あんたらのチームに加えられると、その罰ゲームが発生しちまう。そんなのごめんだぜ」

//<5435> nothing
<5435> nothing

//<5436> nothing
<5436> nothing

//<5437> nothing
<5437> nothing

//<5438> nothing
<5438> nothing

//<5439> nothing
<5439> nothing

//<5440> 日向
<5440> 日向

//<5441> 男Ｂ
<5441> 男Ｂ

//<5442> エロエロ団総帥
<5442> エロエロ団総帥

//<5443> イケチン
<5443> イケチン

//<5444> ホモ太
<5444> ホモ太

//<5445> ひなチン
<5445> ひなチン

//<5446> 秀樹
<5446> 秀樹

//<5447> 男子生徒
<5447> 男子生徒

//<5448> ？？
<5448> ？？

//<5449> 「だからお前が入ってくれれば、勝つって！」
<5449> 「だからお前が入ってくれれば、勝つって！」

//<5450> nothing
<5450> nothing

//<5451> nothing
<5451> nothing

//<5452> nothing
<5452> nothing

//<5453> nothing
<5453> nothing

//<5454> nothing
<5454> nothing

//<5455> ひさ子
<5455> ひさ子

//<5456> 「へぇ。他にどんなすごい奴が居るってんだい？」
<5456> 「へぇ。他にどんなすごい奴が居るってんだい？」

//<5457> nothing
<5457> nothing

//<5458> nothing
<5458> nothing

//<5459> nothing
<5459> nothing

//<5460> nothing
<5460> nothing

//<5461> nothing
<5461> nothing

//<5462> 日向
<5462> 日向

//<5463> 男Ｂ
<5463> 男Ｂ

//<5464> エロエロ団総帥
<5464> エロエロ団総帥

//<5465> イケチン
<5465> イケチン

//<5466> ホモ太
<5466> ホモ太

//<5467> ひなチン
<5467> ひなチン

//<5468> 秀樹
<5468> 秀樹

//<5469> 男子生徒
<5469> 男子生徒

//<5470> ？？
<5470> ？？

//<5471> 「そりゃ、まだこれから探すところだけどさ…」
<5471> 「そりゃ、まだこれから探すところだけどさ…」

//<5472> nothing
<5472> nothing

//<5473> nothing
<5473> nothing

//<5474> nothing
<5474> nothing

//<5475> nothing
<5475> nothing

//<5476> nothing
<5476> nothing

//<5477> ひさ子
<5477> ひさ子

//<5478> 「不確定要素が多すぎるな。わりぃが諦めてくれ」
<5478> 「不確定要素が多すぎるな。わりぃが諦めてくれ」

//<5479> nothing
<5479> nothing

//<5480> nothing
<5480> nothing

//<5481> nothing
<5481> nothing

//<5482> nothing
<5482> nothing

//<5483> nothing
<5483> nothing

//<5484> そう言って、ひさ子は部室に戻っていった。
<5484> そう言って、ひさ子は部室に戻っていった。

//<5485> nothing
<5485> nothing

//<5486> nothing
<5486> nothing

//<5487> nothing
<5487> nothing

//<5488> nothing
<5488> nothing

//<5489> nothing
<5489> nothing

//<5490> ひさ子
<5490> ひさ子

//<5491> 「あんたらのチームに加えられると、その罰ゲームが発生しちまう。そんなのごめんだぜ」
<5491> 「あんたらのチームに加えられると、その罰ゲームが発生しちまう。そんなのごめんだぜ」

//<5492> nothing
<5492> nothing

//<5493> nothing
<5493> nothing

//<5494> nothing
<5494> nothing

//<5495> nothing
<5495> nothing

//<5496> nothing
<5496> nothing

//<5497> 日向
<5497> 日向

//<5498> 男Ｂ
<5498> 男Ｂ

//<5499> エロエロ団総帥
<5499> エロエロ団総帥

//<5500> イケチン
<5500> イケチン

//<5501> ホモ太
<5501> ホモ太

//<5502> ひなチン
<5502> ひなチン

//<5503> 秀樹
<5503> 秀樹

//<5504> 男子生徒
<5504> 男子生徒

//<5505> ？？
<5505> ？？

//<5506> 「だからお前が入ってくれれば、勝つって！」
<5506> 「だからお前が入ってくれれば、勝つって！」

//<5507> nothing
<5507> nothing

//<5508> nothing
<5508> nothing

//<5509> nothing
<5509> nothing

//<5510> nothing
<5510> nothing

//<5511> nothing
<5511> nothing

//<5512> ひさ子
<5512> ひさ子

//<5513> 「へぇ。他にどんなすごい奴が居るってんだい？」
<5513> 「へぇ。他にどんなすごい奴が居るってんだい？」

//<5514> nothing
<5514> nothing

//<5515> nothing
<5515> nothing

//<5516> nothing
<5516> nothing

//<5517> nothing
<5517> nothing

//<5518> nothing
<5518> nothing

//<5519> 日向
<5519> 日向

//<5520> 男Ｂ
<5520> 男Ｂ

//<5521> エロエロ団総帥
<5521> エロエロ団総帥

//<5522> イケチン
<5522> イケチン

//<5523> ホモ太
<5523> ホモ太

//<5524> ひなチン
<5524> ひなチン

//<5525> 秀樹
<5525> 秀樹

//<5526> 男子生徒
<5526> 男子生徒

//<5527> ？？
<5527> ？？

//<5528> 「そりゃ、まだこれから探すところだけどさ…」
<5528> 「そりゃ、まだこれから探すところだけどさ…」

//<5529> nothing
<5529> nothing

//<5530> nothing
<5530> nothing

//<5531> nothing
<5531> nothing

//<5532> nothing
<5532> nothing

//<5533> nothing
<5533> nothing

//<5534> ひさ子
<5534> ひさ子

//<5535> 「不確定要素が多すぎるな。わりぃが諦めてくれ」
<5535> 「不確定要素が多すぎるな。わりぃが諦めてくれ」

//<5536> nothing
<5536> nothing

//<5537> nothing
<5537> nothing

//<5538> nothing
<5538> nothing

//<5539> nothing
<5539> nothing

//<5540> nothing
<5540> nothing

//<5541> そう言って、ひさ子は部室に戻っていった。
<5541> そう言って、ひさ子は部室に戻っていった。

//<5542> nothing
<5542> nothing

//<5543> nothing
<5543> nothing

//<5544> nothing
<5544> nothing

//<5545> nothing
<5545> nothing

//<5546> nothing
<5546> nothing

//<5547> 音無
<5547> 音無

//<5548> クソ坊主
<5548> クソ坊主

//<5549> 代理人
<5549> 代理人

//<5550> 微妙すぎるイケメン
<5550> 微妙すぎるイケメン

//<5551> ロリコン
<5551> ロリコン

//<5552> メガネ仲間
<5552> メガネ仲間

//<5553> 暗算日本記録保持者
<5553> 暗算日本記録保持者

//<5554> 通り魔
<5554> 通り魔

//<5555> 記憶ナシ男
<5555> 記憶ナシ男

//<5556> 音速
<5556> 音速

//<5557> 無限
<5557> 無限

//<5558> エロ侍
<5558> エロ侍

//<5559> エロエロ団ナンバー１
<5559> エロエロ団ナンバー１

//<5560> ただのエロ少年
<5560> ただのエロ少年

//<5561> ユリブサイク
<5561> ユリブサイク

//<5562> ドピュッシー
<5562> ドピュッシー

//<5563> アメリカンエロドッグ
<5563> アメリカンエロドッグ

//<5564> ゼウス
<5564> ゼウス

//<5565> 日向markⅡ
<5565> 日向markⅡ

//<5566> 糞虫
<5566> 糞虫

//<5567> 量産型日向
<5567> 量産型日向

//<5568> ？？
<5568> ？？

//<5569> 「信じられねぇぜ…日向の人望をもってしても駄目とか…くそっ！」
<5569> 「信じられねぇぜ…日向の人望をもってしても駄目とか…くそっ！」

//<5570> nothing
<5570> nothing

//<5571> nothing
<5571> nothing

//<5572> nothing
<5572> nothing

//<5573> nothing
<5573> nothing

//<5574> nothing
<5574> nothing

//<5575> 日向
<5575> 日向

//<5576> 男Ｂ
<5576> 男Ｂ

//<5577> エロエロ団総帥
<5577> エロエロ団総帥

//<5578> イケチン
<5578> イケチン

//<5579> ホモ太
<5579> ホモ太

//<5580> ひなチン
<5580> ひなチン

//<5581> 秀樹
<5581> 秀樹

//<5582> 男子生徒
<5582> 男子生徒

//<5583> ？？
<5583> ？？

//<5584> 「なんで俺より憤ってんだよ…」
<5584> 「なんで俺より憤ってんだよ…」

//<5585> 音無
<5585> 音無

//<5586> クソ坊主
<5586> クソ坊主

//<5587> 代理人
<5587> 代理人

//<5588> 微妙すぎるイケメン
<5588> 微妙すぎるイケメン

//<5589> ロリコン
<5589> ロリコン

//<5590> メガネ仲間
<5590> メガネ仲間

//<5591> 暗算日本記録保持者
<5591> 暗算日本記録保持者

//<5592> 通り魔
<5592> 通り魔

//<5593> 記憶ナシ男
<5593> 記憶ナシ男

//<5594> 音速
<5594> 音速

//<5595> 無限
<5595> 無限

//<5596> エロ侍
<5596> エロ侍

//<5597> エロエロ団ナンバー１
<5597> エロエロ団ナンバー１

//<5598> ただのエロ少年
<5598> ただのエロ少年

//<5599> ユリブサイク
<5599> ユリブサイク

//<5600> ドピュッシー
<5600> ドピュッシー

//<5601> アメリカンエロドッグ
<5601> アメリカンエロドッグ

//<5602> ゼウス
<5602> ゼウス

//<5603> 日向markⅡ
<5603> 日向markⅡ

//<5604> 糞虫
<5604> 糞虫

//<5605> 量産型日向
<5605> 量産型日向

//<5606> ？？
<5606> ？？

//<5607> 「そりゃ、リーダーのショックは俺のショックでもあるだろっ」
<5607> 「そりゃ、リーダーのショックは俺のショックでもあるだろっ」

//<5608> nothing
<5608> nothing

//<5609> nothing
<5609> nothing

//<5610> nothing
<5610> nothing

//<5611> nothing
<5611> nothing

//<5612> nothing
<5612> nothing

//<5613> 日向
<5613> 日向

//<5614> 男Ｂ
<5614> 男Ｂ

//<5615> エロエロ団総帥
<5615> エロエロ団総帥

//<5616> イケチン
<5616> イケチン

//<5617> ホモ太
<5617> ホモ太

//<5618> ひなチン
<5618> ひなチン

//<5619> 秀樹
<5619> 秀樹

//<5620> 男子生徒
<5620> 男子生徒

//<5621> ？？
<5621> ？？

//<5622> 「なんだよ、その熱量、テンションは…」
<5622> 「なんだよ、その熱量、テンションは…」

//<5623> 音無
<5623> 音無

//<5624> クソ坊主
<5624> クソ坊主

//<5625> 代理人
<5625> 代理人

//<5626> 微妙すぎるイケメン
<5626> 微妙すぎるイケメン

//<5627> ロリコン
<5627> ロリコン

//<5628> メガネ仲間
<5628> メガネ仲間

//<5629> 暗算日本記録保持者
<5629> 暗算日本記録保持者

//<5630> 通り魔
<5630> 通り魔

//<5631> 記憶ナシ男
<5631> 記憶ナシ男

//<5632> 音速
<5632> 音速

//<5633> 無限
<5633> 無限

//<5634> エロ侍
<5634> エロ侍

//<5635> エロエロ団ナンバー１
<5635> エロエロ団ナンバー１

//<5636> ただのエロ少年
<5636> ただのエロ少年

//<5637> ユリブサイク
<5637> ユリブサイク

//<5638> ドピュッシー
<5638> ドピュッシー

//<5639> アメリカンエロドッグ
<5639> アメリカンエロドッグ

//<5640> ゼウス
<5640> ゼウス

//<5641> 日向markⅡ
<5641> 日向markⅡ

//<5642> 糞虫
<5642> 糞虫

//<5643> 量産型日向
<5643> 量産型日向

//<5644> ？？
<5644> ？？

//<5645> 「そりゃ、マックスさ！」
<5645> 「そりゃ、マックスさ！」

//<5646> nothing
<5646> nothing

//<5647> nothing
<5647> nothing

//<5648> nothing
<5648> nothing

//<5649> nothing
<5649> nothing

//<5650> nothing
<5650> nothing

//<5651> 日向
<5651> 日向

//<5652> 男Ｂ
<5652> 男Ｂ

//<5653> エロエロ団総帥
<5653> エロエロ団総帥

//<5654> イケチン
<5654> イケチン

//<5655> ホモ太
<5655> ホモ太

//<5656> ひなチン
<5656> ひなチン

//<5657> 秀樹
<5657> 秀樹

//<5658> 男子生徒
<5658> 男子生徒

//<5659> ？？
<5659> ？？

//<5660> 「じゃ、ちっとばかし卑怯だが、リーダー格の松下五段をメンバーに誘うかー」
<5660> 「じゃ、ちっとばかし卑怯だが、リーダー格の松下五段をメンバーに誘うかー」
