// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ここは…。
<0000> ここは…。
//<1543> クソ坊主
<1543> クソ坊主

//<1544> 代理人
<1544> 代理人

//<1545> 微妙すぎるイケメン
<1545> 微妙すぎるイケメン

//<1546> ロリコン
<1546> ロリコン

//<1547> メガネ仲間
<1547> メガネ仲間

//<1548> 暗算日本記録保持者
<1548> 暗算日本記録保持者

//<1549> 通り魔
<1549> 通り魔

//<1550> 記憶ナシ男
<1550> 記憶ナシ男

//<1551> 音速
<1551> 音速

//<1552> 無限
<1552> 無限

//<1553> エロ侍
<1553> エロ侍

//<1554> エロエロ団ナンバー１
<1554> エロエロ団ナンバー１

//<1555> ただのエロ少年
<1555> ただのエロ少年

//<1556> ユリブサイク
<1556> ユリブサイク

//<1557> ドピュッシー
<1557> ドピュッシー

//<1558> アメリカンエロドッグ
<1558> アメリカンエロドッグ

//<1559> ゼウス
<1559> ゼウス

//<1560> 日向markⅡ
<1560> 日向markⅡ

//<1561> 糞虫
<1561> 糞虫

//<1562> 量産型日向
<1562> 量産型日向

//<1563> ？？
<1563> ？？

//<1564> 「だから、何もしなくていいって。気になったから指摘したまでで、これまで通り、俺は右ポケットからの食券でいいから」
<1564> 「だから、何もしなくていいって。気になったから指摘したまでで、これまで通り、俺は右ポケットからの食券でいいから」

//<1565> nothing
<1565> nothing

//<1566> nothing
<1566> nothing

//<1567> nothing
<1567> nothing

//<1568> nothing
<1568> nothing

//<1569> nothing
<1569> nothing

//<1570> 日向
<1570> 日向

//<1571> 男Ｂ
<1571> 男Ｂ

//<1572> エロエロ団総帥
<1572> エロエロ団総帥

//<1573> イケチン
<1573> イケチン

//<1574> ホモ太
<1574> ホモ太

//<1575> ひなチン
<1575> ひなチン

//<1576> 秀樹
<1576> 秀樹

//<1577> 男子生徒
<1577> 男子生徒

//<1578> ？？
<1578> ？？

//<1579> 「はっ…お前は天使より、天使だな…」
<1579> 「はっ…お前は天使より、天使だな…」

//<1580> 意味はよくわからないが、反省してくれてるようだ。
<1580> 意味はよくわからないが、反省してくれてるようだ。

//<1581> nothing
<1581> nothing

//<1582> nothing
<1582> nothing

//<1583> nothing
<1583> nothing

//<1584> nothing
<1584> nothing

//<1585> nothing
<1585> nothing

//<1586> 日向
<1586> 日向

//<1587> 男Ｂ
<1587> 男Ｂ

//<1588> エロエロ団総帥
<1588> エロエロ団総帥

//<1589> イケチン
<1589> イケチン

//<1590> ホモ太
<1590> ホモ太

//<1591> ひなチン
<1591> ひなチン

//<1592> 秀樹
<1592> 秀樹

//<1593> 男子生徒
<1593> 男子生徒

//<1594> ？？
<1594> ？？

//<1595> 「わかった。せめて、左のポケットの食券を右にすべて納めてかき混ぜておく」
<1595> 「わかった。せめて、左のポケットの食券を右にすべて納めてかき混ぜておく」

//<1596> 音無
<1596> 音無

//<1597> クソ坊主
<1597> クソ坊主

//<1598> 代理人
<1598> 代理人

//<1599> 微妙すぎるイケメン
<1599> 微妙すぎるイケメン

//<1600> ロリコン
<1600> ロリコン

//<1601> メガネ仲間
<1601> メガネ仲間

//<1602> 暗算日本記録保持者
<1602> 暗算日本記録保持者

//<1603> 通り魔
<1603> 通り魔

//<1604> 記憶ナシ男
<1604> 記憶ナシ男

//<1605> 音速
<1605> 音速

//<1606> 無限
<1606> 無限

//<1607> エロ侍
<1607> エロ侍

//<1608> エロエロ団ナンバー１
<1608> エロエロ団ナンバー１

//<1609> ただのエロ少年
<1609> ただのエロ少年

//<1610> ユリブサイク
<1610> ユリブサイク

//<1611> ドピュッシー
<1611> ドピュッシー

//<1612> アメリカンエロドッグ
<1612> アメリカンエロドッグ

//<1613> ゼウス
<1613> ゼウス

//<1614> 日向markⅡ
<1614> 日向markⅡ

//<1615> 糞虫
<1615> 糞虫

//<1616> 量産型日向
<1616> 量産型日向

//<1617> ？？
<1617> ？？

//<1618> 「俺のことを日向
<1618> 「俺のことを日向

//<1619> mark
<1619> mark

//<1620> Ⅱと呼んでくれ。それだけでいい」
<1620> Ⅱと呼んでくれ。それだけでいい」

//<1621> nothing
<1621> nothing

//<1622> nothing
<1622> nothing

//<1623> nothing
<1623> nothing

//<1624> nothing
<1624> nothing

//<1625> nothing
<1625> nothing

//<1626> 日向
<1626> 日向

//<1627> 男Ｂ
<1627> 男Ｂ

//<1628> エロエロ団総帥
<1628> エロエロ団総帥

//<1629> イケチン
<1629> イケチン

//<1630> ホモ太
<1630> ホモ太

//<1631> ひなチン
<1631> ひなチン

//<1632> 秀樹
<1632> 秀樹

//<1633> 男子生徒
<1633> 男子生徒

//<1634> ？？
<1634> ？？

//<1635> 「は？　マークツー？」
<1635> 「は？　マークツー？」

//<1636> ぽかーんとされる。
<1636> ぽかーんとされる。

//<1637> 音無
<1637> 音無

//<1638> クソ坊主
<1638> クソ坊主

//<1639> 代理人
<1639> 代理人

//<1640> 微妙すぎるイケメン
<1640> 微妙すぎるイケメン

//<1641> ロリコン
<1641> ロリコン

//<1642> メガネ仲間
<1642> メガネ仲間

//<1643> 暗算日本記録保持者
<1643> 暗算日本記録保持者

//<1644> 通り魔
<1644> 通り魔

//<1645> 記憶ナシ男
<1645> 記憶ナシ男

//<1646> 音速
<1646> 音速

//<1647> 無限
<1647> 無限

//<1648> エロ侍
<1648> エロ侍

//<1649> エロエロ団ナンバー１
<1649> エロエロ団ナンバー１

//<1650> ただのエロ少年
<1650> ただのエロ少年

//<1651> ユリブサイク
<1651> ユリブサイク

//<1652> ドピュッシー
<1652> ドピュッシー

//<1653> アメリカンエロドッグ
<1653> アメリカンエロドッグ

//<1654> ゼウス
<1654> ゼウス

//<1655> 日向markⅡ
<1655> 日向markⅡ

//<1656> 糞虫
<1656> 糞虫

//<1657> 量産型日向
<1657> 量産型日向

//<1658> ？？
<1658> ？？

//<1659> 「ようは、師弟関係という意味さ。歌舞伎や落語家でいう襲名のようなものだ」
<1659> 「ようは、師弟関係という意味さ。歌舞伎や落語家でいう襲名のようなものだ」

//<1660> 音無
<1660> 音無

//<1661> クソ坊主
<1661> クソ坊主

//<1662> 代理人
<1662> 代理人

//<1663> 微妙すぎるイケメン
<1663> 微妙すぎるイケメン

//<1664> ロリコン
<1664> ロリコン

//<1665> メガネ仲間
<1665> メガネ仲間

//<1666> 暗算日本記録保持者
<1666> 暗算日本記録保持者

//<1667> 通り魔
<1667> 通り魔

//<1668> 記憶ナシ男
<1668> 記憶ナシ男

//<1669> 音速
<1669> 音速

//<1670> 無限
<1670> 無限

//<1671> エロ侍
<1671> エロ侍

//<1672> エロエロ団ナンバー１
<1672> エロエロ団ナンバー１

//<1673> ただのエロ少年
<1673> ただのエロ少年

//<1674> ユリブサイク
<1674> ユリブサイク

//<1675> ドピュッシー
<1675> ドピュッシー

//<1676> アメリカンエロドッグ
<1676> アメリカンエロドッグ

//<1677> ゼウス
<1677> ゼウス

//<1678> 日向markⅡ
<1678> 日向markⅡ

//<1679> 糞虫
<1679> 糞虫

//<1680> 量産型日向
<1680> 量産型日向

//<1681> ？？
<1681> ？？

//<1682> 「おまえからこの世界で色々なことを教えてもらってるわけだし、こういうのも有りだろ」
<1682> 「おまえからこの世界で色々なことを教えてもらってるわけだし、こういうのも有りだろ」

//<1683> nothing
<1683> nothing

//<1684> nothing
<1684> nothing

//<1685> nothing
<1685> nothing

//<1686> nothing
<1686> nothing

//<1687> nothing
<1687> nothing

//<1688> 日向
<1688> 日向

//<1689> 男Ｂ
<1689> 男Ｂ

//<1690> エロエロ団総帥
<1690> エロエロ団総帥

//<1691> イケチン
<1691> イケチン

//<1692> ホモ太
<1692> ホモ太

//<1693> ひなチン
<1693> ひなチン

//<1694> 秀樹
<1694> 秀樹

//<1695> 男子生徒
<1695> 男子生徒

//<1696> ？？
<1696> ？？

//<1697> 「俺は？」
<1697> 「俺は？」

//<1698> 音無
<1698> 音無

//<1699> クソ坊主
<1699> クソ坊主

//<1700> 代理人
<1700> 代理人

//<1701> 微妙すぎるイケメン
<1701> 微妙すぎるイケメン

//<1702> ロリコン
<1702> ロリコン

//<1703> メガネ仲間
<1703> メガネ仲間

//<1704> 暗算日本記録保持者
<1704> 暗算日本記録保持者

//<1705> 通り魔
<1705> 通り魔

//<1706> 記憶ナシ男
<1706> 記憶ナシ男

//<1707> 音速
<1707> 音速

//<1708> 無限
<1708> 無限

//<1709> エロ侍
<1709> エロ侍

//<1710> エロエロ団ナンバー１
<1710> エロエロ団ナンバー１

//<1711> ただのエロ少年
<1711> ただのエロ少年

//<1712> ユリブサイク
<1712> ユリブサイク

//<1713> ドピュッシー
<1713> ドピュッシー

//<1714> アメリカンエロドッグ
<1714> アメリカンエロドッグ

//<1715> ゼウス
<1715> ゼウス

//<1716> 日向markⅡ
<1716> 日向markⅡ

//<1717> 糞虫
<1717> 糞虫

//<1718> 量産型日向
<1718> 量産型日向

//<1719> ？？
<1719> ？？

//<1720> 「お前は日向だ」
<1720> 「お前は日向だ」

//<1721> nothing
<1721> nothing

//<1722> nothing
<1722> nothing

//<1723> nothing
<1723> nothing

//<1724> nothing
<1724> nothing

//<1725> nothing
<1725> nothing

//<1726> 日向
<1726> 日向

//<1727> 男Ｂ
<1727> 男Ｂ

//<1728> エロエロ団総帥
<1728> エロエロ団総帥

//<1729> イケチン
<1729> イケチン

//<1730> ホモ太
<1730> ホモ太

//<1731> ひなチン
<1731> ひなチン

//<1732> 秀樹
<1732> 秀樹

//<1733> 男子生徒
<1733> 男子生徒

//<1734> ？？
<1734> ？？

//<1735> 「お前は？」
<1735> 「お前は？」

//<1736> 音無
<1736> 音無

//<1737> クソ坊主
<1737> クソ坊主

//<1738> 代理人
<1738> 代理人

//<1739> 微妙すぎるイケメン
<1739> 微妙すぎるイケメン

//<1740> ロリコン
<1740> ロリコン

//<1741> メガネ仲間
<1741> メガネ仲間

//<1742> 暗算日本記録保持者
<1742> 暗算日本記録保持者

//<1743> 通り魔
<1743> 通り魔

//<1744> 記憶ナシ男
<1744> 記憶ナシ男

//<1745> 音速
<1745> 音速

//<1746> 無限
<1746> 無限

//<1747> エロ侍
<1747> エロ侍

//<1748> エロエロ団ナンバー１
<1748> エロエロ団ナンバー１

//<1749> ただのエロ少年
<1749> ただのエロ少年

//<1750> ユリブサイク
<1750> ユリブサイク

//<1751> ドピュッシー
<1751> ドピュッシー

//<1752> アメリカンエロドッグ
<1752> アメリカンエロドッグ

//<1753> ゼウス
<1753> ゼウス

//<1754> 日向markⅡ
<1754> 日向markⅡ

//<1755> 糞虫
<1755> 糞虫

//<1756> 量産型日向
<1756> 量産型日向

//<1757> ？？
<1757> ？？

//<1758> 「日向
<1758> 「日向

//<1759> mark
<1759> mark

//<1760> Ⅱだ」
<1760> Ⅱだ」

//<1761> nothing
<1761> nothing

//<1762> nothing
<1762> nothing

//<1763> nothing
<1763> nothing

//<1764> nothing
<1764> nothing

//<1765> nothing
<1765> nothing

//<1766> 日向
<1766> 日向

//<1767> 男Ｂ
<1767> 男Ｂ

//<1768> エロエロ団総帥
<1768> エロエロ団総帥

//<1769> イケチン
<1769> イケチン

//<1770> ホモ太
<1770> ホモ太

//<1771> ひなチン
<1771> ひなチン

//<1772> 秀樹
<1772> 秀樹

//<1773> 男子生徒
<1773> 男子生徒

//<1774> ？？
<1774> ？？

//<1775> 「音無じゃなく？」
<1775> 「音無じゃなく？」

//<1776> 音無
<1776> 音無

//<1777> クソ坊主
<1777> クソ坊主

//<1778> 代理人
<1778> 代理人

//<1779> 微妙すぎるイケメン
<1779> 微妙すぎるイケメン

//<1780> ロリコン
<1780> ロリコン

//<1781> メガネ仲間
<1781> メガネ仲間

//<1782> 暗算日本記録保持者
<1782> 暗算日本記録保持者

//<1783> 通り魔
<1783> 通り魔

//<1784> 記憶ナシ男
<1784> 記憶ナシ男

//<1785> 音速
<1785> 音速

//<1786> 無限
<1786> 無限

//<1787> エロ侍
<1787> エロ侍

//<1788> エロエロ団ナンバー１
<1788> エロエロ団ナンバー１

//<1789> ただのエロ少年
<1789> ただのエロ少年

//<1790> ユリブサイク
<1790> ユリブサイク

//<1791> ドピュッシー
<1791> ドピュッシー

//<1792> アメリカンエロドッグ
<1792> アメリカンエロドッグ

//<1793> ゼウス
<1793> ゼウス

//<1794> 日向markⅡ
<1794> 日向markⅡ

//<1795> 糞虫
<1795> 糞虫

//<1796> 量産型日向
<1796> 量産型日向

//<1797> ？？
<1797> ？？

//<1798> 「ああ、日向
<1798> 「ああ、日向

//<1799> mark
<1799> mark

//<1800> Ⅱだ」
<1800> Ⅱだ」

//<1801> nothing
<1801> nothing

//<1802> nothing
<1802> nothing

//<1803> nothing
<1803> nothing

//<1804> nothing
<1804> nothing

//<1805> nothing
<1805> nothing

//<1806> 日向
<1806> 日向

//<1807> 男Ｂ
<1807> 男Ｂ

//<1808> エロエロ団総帥
<1808> エロエロ団総帥

//<1809> イケチン
<1809> イケチン

//<1810> ホモ太
<1810> ホモ太

//<1811> ひなチン
<1811> ひなチン

//<1812> 秀樹
<1812> 秀樹

//<1813> 男子生徒
<1813> 男子生徒

//<1814> ？？
<1814> ？？

//<1815> 「日向
<1815> 「日向

//<1816> mark
<1816> mark

//<1817> Ⅱか…」
<1817> Ⅱか…」

//<1818> 音無
<1818> 音無

//<1819> クソ坊主
<1819> クソ坊主

//<1820> 代理人
<1820> 代理人

//<1821> 微妙すぎるイケメン
<1821> 微妙すぎるイケメン

//<1822> ロリコン
<1822> ロリコン

//<1823> メガネ仲間
<1823> メガネ仲間

//<1824> 暗算日本記録保持者
<1824> 暗算日本記録保持者

//<1825> 通り魔
<1825> 通り魔

//<1826> 記憶ナシ男
<1826> 記憶ナシ男

//<1827> 音速
<1827> 音速

//<1828> 無限
<1828> 無限

//<1829> エロ侍
<1829> エロ侍

//<1830> エロエロ団ナンバー１
<1830> エロエロ団ナンバー１

//<1831> ただのエロ少年
<1831> ただのエロ少年

//<1832> ユリブサイク
<1832> ユリブサイク

//<1833> ドピュッシー
<1833> ドピュッシー

//<1834> アメリカンエロドッグ
<1834> アメリカンエロドッグ

//<1835> ゼウス
<1835> ゼウス

//<1836> 日向markⅡ
<1836> 日向markⅡ

//<1837> 糞虫
<1837> 糞虫

//<1838> 量産型日向
<1838> 量産型日向

//<1839> ？？
<1839> ？？

//<1840> 「頼む」
<1840> 「頼む」

//<1841> nothing
<1841> nothing

//<1842> nothing
<1842> nothing

//<1843> nothing
<1843> nothing

//<1844> nothing
<1844> nothing

//<1845> nothing
<1845> nothing

//<1846> 日向
<1846> 日向

//<1847> 男Ｂ
<1847> 男Ｂ

//<1848> エロエロ団総帥
<1848> エロエロ団総帥

//<1849> イケチン
<1849> イケチン

//<1850> ホモ太
<1850> ホモ太

//<1851> ひなチン
<1851> ひなチン

//<1852> 秀樹
<1852> 秀樹

//<1853> 男子生徒
<1853> 男子生徒

//<1854> ？？
<1854> ？？

//<1855> 「ああ…わかったよ…」
<1855> 「ああ…わかったよ…」

//<1856> しっくりきていない表情だったが、了承してくれた。
<1856> しっくりきていない表情だったが、了承してくれた。

//<1857> nothing
<1857> nothing

//<1858> nothing
<1858> nothing

//<1859> nothing
<1859> nothing

//<1860> nothing
<1860> nothing

//<1861> nothing
<1861> nothing

//<1862> 日向
<1862> 日向

//<1863> 男Ｂ
<1863> 男Ｂ

//<1864> エロエロ団総帥
<1864> エロエロ団総帥

//<1865> イケチン
<1865> イケチン

//<1866> ホモ太
<1866> ホモ太

//<1867> ひなチン
<1867> ひなチン

//<1868> 秀樹
<1868> 秀樹

//<1869> 男子生徒
<1869> 男子生徒

//<1870> ？？
<1870> ？？

//<1871> 「とりあえず左のポケットの食券を右にすべて納めてかき混ぜておくよ」
<1871> 「とりあえず左のポケットの食券を右にすべて納めてかき混ぜておくよ」

//<1872> 音無
<1872> 音無

//<1873> クソ坊主
<1873> クソ坊主

//<1874> 代理人
<1874> 代理人

//<1875> 微妙すぎるイケメン
<1875> 微妙すぎるイケメン

//<1876> ロリコン
<1876> ロリコン

//<1877> メガネ仲間
<1877> メガネ仲間

//<1878> 暗算日本記録保持者
<1878> 暗算日本記録保持者

//<1879> 通り魔
<1879> 通り魔

//<1880> 記憶ナシ男
<1880> 記憶ナシ男

//<1881> 音速
<1881> 音速

//<1882> 無限
<1882> 無限

//<1883> エロ侍
<1883> エロ侍

//<1884> エロエロ団ナンバー１
<1884> エロエロ団ナンバー１

//<1885> ただのエロ少年
<1885> ただのエロ少年

//<1886> ユリブサイク
<1886> ユリブサイク

//<1887> ドピュッシー
<1887> ドピュッシー

//<1888> アメリカンエロドッグ
<1888> アメリカンエロドッグ

//<1889> ゼウス
<1889> ゼウス

//<1890> 日向markⅡ
<1890> 日向markⅡ

//<1891> 糞虫
<1891> 糞虫

//<1892> 量産型日向
<1892> 量産型日向

//<1893> ？？
<1893> ？？

//<1894> 「ええとさ…」
<1894> 「ええとさ…」

//<1895> さすがに照れる…。
<1895> さすがに照れる…。

//<1896> 音無
<1896> 音無

//<1897> クソ坊主
<1897> クソ坊主

//<1898> 代理人
<1898> 代理人

//<1899> 微妙すぎるイケメン
<1899> 微妙すぎるイケメン

//<1900> ロリコン
<1900> ロリコン

//<1901> メガネ仲間
<1901> メガネ仲間

//<1902> 暗算日本記録保持者
<1902> 暗算日本記録保持者

//<1903> 通り魔
<1903> 通り魔

//<1904> 記憶ナシ男
<1904> 記憶ナシ男

//<1905> 音速
<1905> 音速

//<1906> 無限
<1906> 無限

//<1907> エロ侍
<1907> エロ侍

//<1908> エロエロ団ナンバー１
<1908> エロエロ団ナンバー１

//<1909> ただのエロ少年
<1909> ただのエロ少年

//<1910> ユリブサイク
<1910> ユリブサイク

//<1911> ドピュッシー
<1911> ドピュッシー
