// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<2306> ？？

//<2307> 「おお、即答！　すげーっ！」
<2307> 「おお、即答！　すげーっ！」

//<2308> nothing
<2308> nothing

//<2309> nothing
<2309> nothing

//<2310> nothing
<2310> nothing

//<2311> nothing
<2311> nothing

//<2312> nothing
<2312> nothing

//<2313> ゆり
<2313> ゆり

//<2314> 女生徒
<2314> 女生徒

//<2315> ？？
<2315> ？？

//<2316> 「でも、音無くんは席遠いわね。大山くんやって」
<2316> 「でも、音無くんは席遠いわね。大山くんやって」

//<2317> 音無
<2317> 音無

//<2318> クソ坊主
<2318> クソ坊主

//<2319> 代理人
<2319> 代理人

//<2320> 微妙すぎるイケメン
<2320> 微妙すぎるイケメン

//<2321> ロリコン
<2321> ロリコン

//<2322> メガネ仲間
<2322> メガネ仲間

//<2323> 暗算日本記録保持者
<2323> 暗算日本記録保持者

//<2324> 通り魔
<2324> 通り魔

//<2325> 記憶ナシ男
<2325> 記憶ナシ男

//<2326> 音速
<2326> 音速

//<2327> 無限
<2327> 無限

//<2328> エロ侍
<2328> エロ侍

//<2329> エロエロ団ナンバー１
<2329> エロエロ団ナンバー１

//<2330> ただのエロ少年
<2330> ただのエロ少年

//<2331> ユリブサイク
<2331> ユリブサイク

//<2332> ドピュッシー
<2332> ドピュッシー

//<2333> アメリカンエロドッグ
<2333> アメリカンエロドッグ

//<2334> ゼウス
<2334> ゼウス

//<2335> 日向markⅡ
<2335> 日向markⅡ

//<2336> 糞虫
<2336> 糞虫

//<2337> 量産型日向
<2337> 量産型日向

//<2338> ？？
<2338> ？？

//<2339> 「断る」
<2339> 「断る」

//<2340> 音無
<2340> 音無

//<2341> クソ坊主
<2341> クソ坊主

//<2342> 代理人
<2342> 代理人

//<2343> 微妙すぎるイケメン
<2343> 微妙すぎるイケメン

//<2344> ロリコン
<2344> ロリコン

//<2345> メガネ仲間
<2345> メガネ仲間

//<2346> 暗算日本記録保持者
<2346> 暗算日本記録保持者

//<2347> 通り魔
<2347> 通り魔

//<2348> 記憶ナシ男
<2348> 記憶ナシ男

//<2349> 音速
<2349> 音速

//<2350> 無限
<2350> 無限

//<2351> エロ侍
<2351> エロ侍

//<2352> エロエロ団ナンバー１
<2352> エロエロ団ナンバー１

//<2353> ただのエロ少年
<2353> ただのエロ少年

//<2354> ユリブサイク
<2354> ユリブサイク

//<2355> ドピュッシー
<2355> ドピュッシー

//<2356> アメリカンエロドッグ
<2356> アメリカンエロドッグ

//<2357> ゼウス
<2357> ゼウス

//<2358> 日向markⅡ
<2358> 日向markⅡ

//<2359> 糞虫
<2359> 糞虫

//<2360> 量産型日向
<2360> 量産型日向

//<2361> ？？
<2361> ？？

//<2362> 「理由はもちろん、日向を前にして、そんな真似したくないからだ」
<2362> 「理由はもちろん、日向を前にして、そんな真似したくないからだ」

//<2363> nothing
<2363> nothing

//<2364> nothing
<2364> nothing

//<2365> nothing
<2365> nothing

//<2366> nothing
<2366> nothing

//<2367> nothing
<2367> nothing

//<2368> 日向
<2368> 日向

//<2369> 男Ｂ
<2369> 男Ｂ

//<2370> エロエロ団総帥
<2370> エロエロ団総帥

//<2371> イケチン
<2371> イケチン

//<2372> ホモ太
<2372> ホモ太

//<2373> ひなチン
<2373> ひなチン

//<2374> 秀樹
<2374> 秀樹

//<2375> 男子生徒
<2375> 男子生徒

//<2376> ？？
<2376> ？？

//<2377> 「はあぁ！？」
<2377> 「はあぁ！？」

//<2378> nothing
<2378> nothing

//<2379> nothing
<2379> nothing

//<2380> nothing
<2380> nothing

//<2381> nothing
<2381> nothing

//<2382> nothing
<2382> nothing

//<2383> ゆり
<2383> ゆり

//<2384> 女生徒
<2384> 女生徒

//<2385> ？？
<2385> ？？

//<2386> 「そうね。音無くんは席遠いもんね。大山くんやって」
<2386> 「そうね。音無くんは席遠いもんね。大山くんやって」

//<2387> 音無
<2387> 音無

//<2388> クソ坊主
<2388> クソ坊主

//<2389> 代理人
<2389> 代理人

//<2390> 微妙すぎるイケメン
<2390> 微妙すぎるイケメン

//<2391> ロリコン
<2391> ロリコン

//<2392> メガネ仲間
<2392> メガネ仲間

//<2393> 暗算日本記録保持者
<2393> 暗算日本記録保持者

//<2394> 通り魔
<2394> 通り魔

//<2395> 記憶ナシ男
<2395> 記憶ナシ男

//<2396> 音速
<2396> 音速

//<2397> 無限
<2397> 無限

//<2398> エロ侍
<2398> エロ侍

//<2399> エロエロ団ナンバー１
<2399> エロエロ団ナンバー１

//<2400> ただのエロ少年
<2400> ただのエロ少年

//<2401> ユリブサイク
<2401> ユリブサイク

//<2402> ドピュッシー
<2402> ドピュッシー

//<2403> アメリカンエロドッグ
<2403> アメリカンエロドッグ

//<2404> ゼウス
<2404> ゼウス

//<2405> 日向markⅡ
<2405> 日向markⅡ

//<2406> 糞虫
<2406> 糞虫

//<2407> 量産型日向
<2407> 量産型日向

//<2408> ？？
<2408> ？？

//<2409> 「今の俺は糞虫ですが、何か？」
<2409> 「今の俺は糞虫ですが、何か？」

//<2410> 音無
<2410> 音無

//<2411> クソ坊主
<2411> クソ坊主

//<2412> 代理人
<2412> 代理人

//<2413> 微妙すぎるイケメン
<2413> 微妙すぎるイケメン

//<2414> ロリコン
<2414> ロリコン

//<2415> メガネ仲間
<2415> メガネ仲間

//<2416> 暗算日本記録保持者
<2416> 暗算日本記録保持者

//<2417> 通り魔
<2417> 通り魔

//<2418> 記憶ナシ男
<2418> 記憶ナシ男

//<2419> 音速
<2419> 音速

//<2420> 無限
<2420> 無限

//<2421> エロ侍
<2421> エロ侍

//<2422> エロエロ団ナンバー１
<2422> エロエロ団ナンバー１

//<2423> ただのエロ少年
<2423> ただのエロ少年

//<2424> ユリブサイク
<2424> ユリブサイク

//<2425> ドピュッシー
<2425> ドピュッシー

//<2426> アメリカンエロドッグ
<2426> アメリカンエロドッグ

//<2427> ゼウス
<2427> ゼウス

//<2428> 日向markⅡ
<2428> 日向markⅡ

//<2429> 糞虫
<2429> 糞虫

//<2430> 量産型日向
<2430> 量産型日向

//<2431> ？？
<2431> ？？

//<2432> 「今の俺は量産型日向ですが、何か？」
<2432> 「今の俺は量産型日向ですが、何か？」

//<2433> nothing
<2433> nothing

//<2434> nothing
<2434> nothing

//<2435> nothing
<2435> nothing

//<2436> nothing
<2436> nothing

//<2437> nothing
<2437> nothing

//<2438> ゆり
<2438> ゆり

//<2439> 女生徒
<2439> 女生徒

//<2440> ？？
<2440> ？？

//<2441> 「またイラッとするのが来たぁーーー！！」
<2441> 「またイラッとするのが来たぁーーー！！」

//<2442> nothing
<2442> nothing

//<2443> nothing
<2443> nothing

//<2444> nothing
<2444> nothing

//<2445> nothing
<2445> nothing

//<2446> nothing
<2446> nothing

//<2447> ゆり
<2447> ゆり

//<2448> 女生徒
<2448> 女生徒

//<2449> ？？
<2449> ？？

//<2450> 「じゃ、次は大山くん」
<2450> 「じゃ、次は大山くん」

//<2451> 大山
<2451> 大山

//<2452> 「やっぱり、きたかーーー！！　僕、持ちネタなんてないよっ！？」
<2452> 「やっぱり、きたかーーー！！　僕、持ちネタなんてないよっ！？」

//<2453> nothing
<2453> nothing

//<2454> nothing
<2454> nothing

//<2455> nothing
<2455> nothing

//<2456> nothing
<2456> nothing

//<2457> 高松
<2457> 高松

//<2458> 「別に私たちはネタ見せをしているわけではありませんが…」
<2458> 「別に私たちはネタ見せをしているわけではありませんが…」

//<2459> その姿は十分ネタじゃないか…。
<2459> その姿は十分ネタじゃないか…。

//<2460> nothing
<2460> nothing

//<2461> nothing
<2461> nothing

//<2462> nothing
<2462> nothing

//<2463> nothing
<2463> nothing

//<2464> nothing
<2464> nothing

//<2465> 大山
<2465> 大山

//<2466> 「もう、いいよっ。いっそ最初から飛ばしてよっ。今度は何っ？　爆発でもするのっ？」
<2466> 「もう、いいよっ。いっそ最初から飛ばしてよっ。今度は何っ？　爆発でもするのっ？」

//<2467> 日向
<2467> 日向

//<2468> 男Ｂ
<2468> 男Ｂ

//<2469> エロエロ団総帥
<2469> エロエロ団総帥

//<2470> イケチン
<2470> イケチン

//<2471> ホモ太
<2471> ホモ太

//<2472> ひなチン
<2472> ひなチン

//<2473> 秀樹
<2473> 秀樹

//<2474> 男子生徒
<2474> 男子生徒

//<2475> ？？
<2475> ？？

//<2476> 「肉片が散らばって、テストどころじゃなくなるからな…」
<2476> 「肉片が散らばって、テストどころじゃなくなるからな…」

//<2477> ゆり
<2477> ゆり

//<2478> 女生徒
<2478> 女生徒

//<2479> ？？
<2479> ？？

//<2480> 「あっ、そーだ。大山くんの席は、斜め後ろで、近いじゃない」
<2480> 「あっ、そーだ。大山くんの席は、斜め後ろで、近いじゃない」

//<2481> nothing
<2481> nothing

//<2482> nothing
<2482> nothing

//<2483> nothing
<2483> nothing

//<2484> nothing
<2484> nothing

//<2485> nothing
<2485> nothing

//<2486> 大山
<2486> 大山

//<2487> 「そうだね。じゃあ、飛ばなくていい？」
<2487> 「そうだね。じゃあ、飛ばなくていい？」

//<2488> nothing
<2488> nothing

//<2489> nothing
<2489> nothing

//<2490> nothing
<2490> nothing

//<2491> nothing
<2491> nothing

//<2492> nothing
<2492> nothing

//<2493> ゆり
<2493> ゆり

//<2494> 女生徒
<2494> 女生徒

//<2495> ？？
<2495> ？？

//<2496> 「ええ。天使に告白してくれたら」
<2496> 「ええ。天使に告白してくれたら」

//<2497> nothing
<2497> nothing

//<2498> nothing
<2498> nothing

//<2499> nothing
<2499> nothing

//<2500> nothing
<2500> nothing

//<2501> nothing
<2501> nothing

//<2502> 大山
<2502> 大山

//<2503> 「うん」
<2503> 「うん」

//<2504> nothing
<2504> nothing

//<2505> nothing
<2505> nothing

//<2506> nothing
<2506> nothing

//<2507> nothing
<2507> nothing

//<2508> nothing
<2508> nothing

//<2509> 大山
<2509> 大山

//<2510> 「…うん？　…なんだって？」
<2510> 「…うん？　…なんだって？」

//<2511> nothing
<2511> nothing

//<2512> nothing
<2512> nothing

//<2513> nothing
<2513> nothing

//<2514> nothing
<2514> nothing

//<2515> nothing
<2515> nothing

//<2516> ゆり
<2516> ゆり

//<2517> 女生徒
<2517> 女生徒

//<2518> ？？
<2518> ？？
{45cb0} 33 // 2518

//<2519> 「天使に告白するのよ。こんな時に場所も選ばず、ごめんなさい。あなたのことがずっと好きでした、付き合ってください、って」
<2519> 「天使に告白するのよ。こんな時に場所も選ばず、ごめんなさい。あなたのことがずっと好きでした、付き合ってください、って」

//<2520> nothing
<2520> nothing

//<2521> nothing
<2521> nothing

//<2522> nothing
<2522> nothing

//<2523> nothing
<2523> nothing

//<2524> nothing
<2524> nothing

//<2525> se_shock
<2525> se_shock

//<2526> nothing
<2526> nothing

//<2527> nothing
<2527> nothing

//<2528> nothing
<2528> nothing

//<2529> ２人
<2529> ２人

//<2530> 「ええぇぇえぇぇぇーーっ！」
<2530> 「ええぇぇえぇぇぇーーっ！」

//<2531> nothing
<2531> nothing

//<2532> nothing
<2532> nothing

//<2533> nothing
<2533> nothing

//<2534> nothing
<2534> nothing

//<2535> nothing
<2535> nothing

//<2536> ゆり
<2536> ゆり

//<2537> 女生徒
<2537> 女生徒

//<2538> ？？
<2538> ？？

//<2539> 「なんで日向くんまで驚いてるの？」
<2539> 「なんで日向くんまで驚いてるの？」

//<2540> nothing
<2540> nothing

//<2541> nothing
<2541> nothing

//<2542> nothing
<2542> nothing

//<2543> nothing
<2543> nothing

//<2544> nothing
<2544> nothing

//<2545> 日向
<2545> 日向

//<2546> 男Ｂ
<2546> 男Ｂ

//<2547> エロエロ団総帥
<2547> エロエロ団総帥

//<2548> イケチン
<2548> イケチン

//<2549> ホモ太
<2549> ホモ太

//<2550> ひなチン
<2550> ひなチン

//<2551> 秀樹
<2551> 秀樹

//<2552> 男子生徒
<2552> 男子生徒

//<2553> ？？
<2553> ？？

//<2554> 「だって、俺も天使のことが好きってことになっちゃうじゃん！　さっきの大山の嘘のせいでさっ！？」
<2554> 「だって、俺も天使のことが好きってことになっちゃうじゃん！　さっきの大山の嘘のせいでさっ！？」

//<2555> nothing
<2555> nothing

//<2556> nothing
<2556> nothing

//<2557> nothing
<2557> nothing

//<2558> nothing
<2558> nothing

//<2559> nothing
<2559> nothing

//<2560> 大山
<2560> 大山

//<2561> 「しかも、なんだか友情より恋を取る、抜け駆けみたいな告白になっちゃうよ！？」
<2561> 「しかも、なんだか友情より恋を取る、抜け駆けみたいな告白になっちゃうよ！？」

//<2562> nothing
<2562> nothing

//<2563> nothing
<2563> nothing

//<2564> nothing
<2564> nothing

//<2565> nothing
<2565> nothing

//<2566> nothing
<2566> nothing

//<2567> ゆり
<2567> ゆり

//<2568> 女生徒
<2568> 女生徒

//<2569> ？？
<2569> ？？

//<2570> 「別にいいじゃない。天使以外はＮＰＣなんだし」
<2570> 「別にいいじゃない。天使以外はＮＰＣなんだし」

//<2571> nothing
<2571> nothing

//<2572> nothing
<2572> nothing

//<2573> nothing
<2573> nothing

//<2574> nothing
<2574> nothing

//<2575> nothing
<2575> nothing

//<2576> 大山
<2576> 大山

//<2577> 「それに女の子に告白するなんて初めてなんだよ！？　振られるのがわかってるんだよ！？」
<2577> 「それに女の子に告白するなんて初めてなんだよ！？　振られるのがわかってるんだよ！？」

//<2578> nothing
<2578> nothing

//<2579> nothing
<2579> nothing

//<2580> nothing
<2580> nothing

//<2581> nothing
<2581> nothing

//<2582> nothing
<2582> nothing

//<2583> 日向
<2583> 日向

//<2584> 男Ｂ
<2584> 男Ｂ

//<2585> エロエロ団総帥
<2585> エロエロ団総帥

//<2586> イケチン
<2586> イケチン

//<2587> ホモ太
<2587> ホモ太

//<2588> ひなチン
<2588> ひなチン

//<2589> 秀樹
<2589> 秀樹

//<2590> 男子生徒
<2590> 男子生徒

//<2591> ？？
<2591> ？？

//<2592> 「しかも天使は、俺からも惚れられてるってことになんだぜ！？」
<2592> 「しかも天使は、俺からも惚れられてるってことになんだぜ！？」

//<2593> nothing
<2593> nothing

//<2594> nothing
<2594> nothing

//<2595> nothing
<2595> nothing

//<2596> nothing
<2596> nothing

//<2597> 日向
<2597> 日向

//<2598> 男Ｂ
<2598> 男Ｂ

//<2599> エロエロ団総帥
<2599> エロエロ団総帥

//<2600> イケチン
<2600> イケチン

//<2601> ホモ太
<2601> ホモ太

//<2602> ひなチン
<2602> ひなチン

//<2603> 秀樹
<2603> 秀樹

//<2604> 男子生徒
<2604> 男子生徒

//<2605> ？？
<2605> ？？

//<2606> 「大山、お前はどーして、そんな嘘をついたんだよぉーー！！」
<2606> 「大山、お前はどーして、そんな嘘をついたんだよぉーー！！」

//<2607> nothing
<2607> nothing

//<2608> nothing
<2608> nothing

//<2609> nothing
<2609> nothing

//<2610> nothing
<2610> nothing

//<2611> nothing
<2611> nothing

//<2612> 大山
<2612> 大山

//<2613> 「あれでも精一杯、機転を利かせたつもりだよっ！」
<2613> 「あれでも精一杯、機転を利かせたつもりだよっ！」

//<2614> nothing
<2614> nothing

//<2615> nothing
<2615> nothing

//<2616> nothing
<2616> nothing

//<2617> nothing
<2617> nothing

//<2618> nothing
<2618> nothing

//<2619> 日向
<2619> 日向

//<2620> 男Ｂ
<2620> 男Ｂ

//<2621> エロエロ団総帥
<2621> エロエロ団総帥

//<2622> イケチン
<2622> イケチン

//<2623> ホモ太
<2623> ホモ太

//<2624> ひなチン
<2624> ひなチン

//<2625> 秀樹
<2625> 秀樹

//<2626> 男子生徒
<2626> 男子生徒

//<2627> ？？
<2627> ？？

//<2628> 「もっと後のこと考えて利かせろよっ！！　俺はスレンダーなクールビューティーが好みなんだよ！！」
<2628> 「もっと後のこと考えて利かせろよっ！！　俺はスレンダーなクールビューティーが好みなんだよ！！」

//<2629> nothing
<2629> nothing

//<2630> nothing
<2630> nothing

//<2631> nothing
<2631> nothing

//<2632> nothing
<2632> nothing

//<2633> nothing
<2633> nothing

//<2634> 大山
<2634> 大山

//<2635> 「ええぇぇえぇぇぇーーっ！」
<2635> 「ええぇぇえぇぇぇーーっ！」

//<2636> nothing
<2636> nothing

//<2637> nothing
<2637> nothing

//<2638> nothing
<2638> nothing

//<2639> nothing
<2639> nothing

//<2640> 入江
<2640> 入江

//<2641> 「ごめんなさい、あたしのせいでっ」
<2641> 「ごめんなさい、あたしのせいでっ」

//<2642> nothing
<2642> nothing

//<2643> nothing
<2643> nothing

//<2644> nothing
<2644> nothing

//<2645> nothing
<2645> nothing

//<2646> nothing
<2646> nothing

//<2647> 大山
<2647> 大山

//<2648> 「いやいや、気にしないでっ」
<2648> 「いやいや、気にしないでっ」

//<2649> nothing
<2649> nothing

//<2650> nothing
<2650> nothing

//<2651> nothing
<2651> nothing

//<2652> nothing
<2652> nothing
