// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場のようだった。
<0000> 駐車場のようだった。
<2606> yi040800w0

//<2607> yi010600l0
<2607> yi010600l0

//<2608> yi01070600
<2608> yi01070600

//<2609> yi999900r5
<2609> yi999900r5

//<2610> yi0106_1600l5
<2610> yi0106_1600l5

//<2611> yi0106_1600l5
<2611> yi0106_1600l5

//<2612> yi010706l0
<2612> yi010706l0

//<2613> yi071300a0
<2613> yi071300a0

//<2614> yi0102_03
<2614> yi0102_03

//<2615> yi0108
<2615> yi0108

//<2616> yi0103
<2616> yi0103

//<2617> m118
<2617> m118

//<2618> sys_bk_selline00
<2618> sys_bk_selline00

//<2619> yi0603
<2619> yi0603

//<2620> bs3_yi0405
<2620> bs3_yi0405

//<2621> yi0603
<2621> yi0603

//<2622> bs3_yi0405
<2622> bs3_yi0405

//<2623> yi0603
<2623> yi0603

//<2624> bs3_yi0405
<2624> bs3_yi0405

//<2625> yi0405
<2625> yi0405

//<2626> yi010706l0
<2626> yi010706l0

//<2627> bs2_yi070600a0
<2627> bs2_yi070600a0

//<2628> bs3_yi040500a0
<2628> bs3_yi040500a0

//<2629> bs3_yi070311a0
<2629> bs3_yi070311a0

//<2630> sys_bk_selline00
<2630> sys_bk_selline00

//<2631> yi0104_09
<2631> yi0104_09

//<2632> yi0104_09
<2632> yi0104_09

//<2633> yi0104_09
<2633> yi0104_09

//<2634> yi0104_09
<2634> yi0104_09

//<2635> yi0104_09
<2635> yi0104_09

//<2636> yi0104_09
<2636> yi0104_09

//<2637> yi011000a000r1
<2637> yi011000a000r1

//<2638> yi0103
<2638> yi0103

//<2639> yi010411a0
<2639> yi010411a0

//<2640> yi0706
<2640> yi0706

//<2641> yi0708
<2641> yi0708

//<2642> bs2_yi0706_1400a0
<2642> bs2_yi0706_1400a0

//<2643> yi0101_12
<2643> yi0101_12

//<2644> yi0101
<2644> yi0101

//<2645> yi0411_04
<2645> yi0411_04

//<2646> yi0402
<2646> yi0402

//<2647> yi0702_03
<2647> yi0702_03

//<2648> yi0712
<2648> yi0712

//<2649> yi0712_02
<2649> yi0712_02

//<2650> yi040400a0
<2650> yi040400a0

//<2651> m118
<2651> m118

//<2652> bs3_yi0107
<2652> bs3_yi0107

//<2653> sys_bk_selline00
<2653> sys_bk_selline00

//<2654> yi0109
<2654> yi0109

//<2655> yi010706l0
<2655> yi010706l0

//<2656> yi0109_06
<2656> yi0109_06

//<2657> sys_bk_selline00
<2657> sys_bk_selline00

//<2658> bs2_yi061000a0
<2658> bs2_yi061000a0

//<2659> yi011000d0
<2659> yi011000d0

//<2660> bs2_yi040800a0
<2660> bs2_yi040800a0

//<2661> yi0116
<2661> yi0116

//<2662> yi0102
<2662> yi0102

//<2663> yi0703
<2663> yi0703

//<2664> yi0411_06
<2664> yi0411_06

//<2665> yi0108_06
<2665> yi0108_06

//<2666> yi0110
<2666> yi0110

//<2667> bs2_yi070200a0
<2667> bs2_yi070200a0

//<2668> yi0410
<2668> yi0410

//<2669> bs2_yi010200a0
<2669> bs2_yi010200a0

//<2670> bs2_yi0410
<2670> bs2_yi0410

//<2671> yi0402_03
<2671> yi0402_03

//<2672> yi010300a0
<2672> yi010300a0

//<2673> bs3_yi010706a0
<2673> bs3_yi010706a0

//<2674> bg_kuro
<2674> bg_kuro

//<2675> ep99_bg011
<2675> ep99_bg011

//<2676> evyi_0102
<2676> evyi_0102

//<2677> evyi_0102
<2677> evyi_0102

//<2678> ep99_bg011
<2678> ep99_bg011

//<2679> bs1_yi040312a0
<2679> bs1_yi040312a0

//<2680> m104
<2680> m104

//<2681> yi0102_03
<2681> yi0102_03

//<2682> bs2_yi010200a0
<2682> bs2_yi010200a0

//<2683> yi0103
<2683> yi0103

//<2684> yi0213
<2684> yi0213

//<2685> yi0103
<2685> yi0103

//<2686> bs3_yi010700a0
<2686> bs3_yi010700a0

//<2687> bs3_yi0107
<2687> bs3_yi0107

//<2688> bs2_yi021200a0
<2688> bs2_yi021200a0

//<2689> yi0109_0615d0
<2689> yi0109_0615d0

//<2690> yi0211_03
<2690> yi0211_03

//<2691> yi0103
<2691> yi0103

//<2692> yi0103
<2692> yi0103

//<2693> yi0108_06
<2693> yi0108_06

//<2694> yi070300a0
<2694> yi070300a0

//<2695> yi0304_0312d0
<2695> yi0304_0312d0

//<2696> yi0103
<2696> yi0103

//<2697> yi0204
<2697> yi0204

//<2698> yi0611_03
<2698> yi0611_03

//<2699> yi0109_061500
<2699> yi0109_061500

//<2700> bs3_yi010700a0
<2700> bs3_yi010700a0

//<2701> bs2_yi071400a0
<2701> bs2_yi071400a0

//<2702> yi0703
<2702> yi0703

//<2703> yi0102
<2703> yi0102

//<2704> yi0203
<2704> yi0203

//<2705> yi0208
<2705> yi0208

//<2706> bs3_yi0107
<2706> bs3_yi0107

//<2707> yi0107
<2707> yi0107

//<2708> yi0402_03
<2708> yi0402_03

//<2709> yi0406
<2709> yi0406

//<2710> yi0402
<2710> yi0402

//<2711> yi0406
<2711> yi0406

//<2712> yi0404
<2712> yi0404

//<2713> bg_kuro
<2713> bg_kuro

